query_id,query_variant,mode,hit_at_k,precision_at_k,recall_at_k,mrr,ndcg_at_k,link_valid_rate,off_repo_rate
30,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.4
31,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
32,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
33,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,1,0.1,1.0,0.125,0.31546487678572877,0.0,0.3
34,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
35,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
36,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
37,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
38,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
39,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,1,0.1,0.5,1.0,0.6131471927654584,0.0,0.5
40,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.6
42,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.7
43,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.8
44,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.1,0.8
45,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
46,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
47,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
48,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
49,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.6
50,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
51,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.6
52,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.5
53,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
54,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.8
55,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
56,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.8
57,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
58,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,1,0.1,1.0,0.1,0.2890648263178879,0.0,0.9
59,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
61,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,1,0.1,1.0,0.2,0.38685280723454163,0.2,0.0
62,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.2,0.8
63,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,1,0.1,1.0,1.0,1.0,0.0,0.8
64,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
65,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.8
66,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
67,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
68,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
69,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
70,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,1,0.1,1.0,0.14285714285714285,0.3333333333333333,0.0,0.7
71,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
72,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.4
73,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
74,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.5
75,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
76,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.4
77,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.1
78,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
79,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
80,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
81,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
82,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.1,0.9
83,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,0.9
84,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,0,0.0,0.0,0.0,0.0,0.0,1.0
