query_id,query_text,query_variant,query_topics,query_countries,query_time_collection_years,query_time_display,source_dataset_id,source_title,source_doi,source_portal_url,source_row
11,"Can you find datasets related to [[""HISTORY""]] in [[""South Carolina"", ""Massachusetts""]] during the [1730s and 1740s and 1750s and 1760s and 1770s and 1780s and 1790s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""HISTORY""]","[""South Carolina"", ""Massachusetts""]","[""1732"", ""1791""]",1730s and 1740s and 1750s and 1760s and 1770s and 1780s and 1790s,ZA8413,"""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution","[""10.4232/1.8413""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8413&db=D,13
12,"Can you find datasets related to [[""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Media"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour"", ""Economic systems and development"", ""Economic conditions and indicators""]] in [[""Finland""]] during the [1960s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Media"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour"", ""Economic systems and development"", ""Economic conditions and indicators""]","[""Finland""]","[""1969"", ""1969""]",1960s,ZA1296,A Survey of Europe Today (Finland),"[""10.4232/1.1296""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1296&db=D,14
13,"Can you find datasets related to [[""Employment"", ""Higher and further education""]] in [[""Bavaria""]] during the [1970s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Employment"", ""Higher and further education""]","[""Bavaria""]","[""1975"", ""1975""]",1970s,ZA1458,College Education and Profession,"[""10.4232/1.1458""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1458&db=D,15
14,"Can you find datasets related to [[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]] in [[""Germany""]] during the [1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""Germany""]","[""1999"", ""1999""]",1990s,ZA3222,50 Years Federal Republic of Germany,"[""10.4232/1.3222""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3222&db=D,16
15,"Can you find datasets related to [[""Youth"", ""EDUCATION"", ""Higher and further education"", ""Migration"", ""Social behaviour and attitudes"", ""Leisure, tourism and sport"", ""Children"", ""Family life and marriage""]] in [[""Germany""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Youth"", ""EDUCATION"", ""Higher and further education"", ""Migration"", ""Social behaviour and attitudes"", ""Leisure, tourism and sport"", ""Children"", ""Family life and marriage""]","[""Germany""]","[""2017"", ""2019""]",2010s,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,"[""10.4232/1.13487""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6262&db=D,17
16,"Can you find datasets related to [[""Community, urban and rural life"", ""Cultural activities and participation"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Housing""]] in [[""North Rhine-Westphalia""]] during the [2000s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Community, urban and rural life"", ""Cultural activities and participation"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Housing""]","[""North Rhine-Westphalia""]","[""2000"", ""2000""]",2000s,ZA3468,Citizen Survey Duisburg (Spring 2000),"[""10.4232/1.3468""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3468&db=D,18
17,"Can you find datasets related to [[""Business/industrial management and organisation"", ""Economic systems and development""]] in [[""Belgium"", ""Germany"", ""Denmark"", ""France"", ""Greece"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Portugal"", ""Spain"", ""Great Britain""]] during the [1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Business/industrial management and organisation"", ""Economic systems and development""]","[""Belgium"", ""Germany"", ""Denmark"", ""France"", ""Greece"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Portugal"", ""Spain"", ""Great Britain""]","[""1992"", ""1992""]",1990s,ZA2146,Flash Eurobarometer 10 (Managers),"[""10.4232/1.2146""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2146&db=D,19
18,"Can you find datasets related to [[""HISTORY""]] in [[""German Reich (1871-1945)""]] during the [1900s and 1910s and 1920s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""HISTORY""]","[""German Reich (1871-1945)""]","[""1904"", ""1928""]",1900s and 1910s and 1920s,ZA8423,Labour market policy in the German Empire.,"[""10.4232/1.10284""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8423&db=D,20
19,"Can you find datasets related to [[""Migration"", ""Community, urban and rural life"", ""Government, political systems and organisations""]] in [[""North Rhine-Westphalia""]] during the [2000s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Migration"", ""Community, urban and rural life"", ""Government, political systems and organisations""]","[""North Rhine-Westphalia""]","[""2002"", ""2002""]",2000s,ZA4347,"Duisburg Citizen Survey (Autumn 2002, Foreign population)","[""10.4232/1.4347""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4347&db=D,21
20,"Can you find datasets related to [[""Employment"", ""Community, urban and rural life"", ""TRADE, INDUSTRY AND MARKETS"", ""Specific social services: use and availability""]] in [[""Lagos""]] during the [1980s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Employment"", ""Community, urban and rural life"", ""TRADE, INDUSTRY AND MARKETS"", ""Specific social services: use and availability""]","[""Lagos""]","[""1983"", ""1983""]",1980s,ZA5003,"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria","[""10.4232/1.5003""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5003&db=D,23
21,"Can you find datasets related to [[""HISTORY""]] in [[""German Reich (1871-1945)""]] during the [1870s and 1880s and 1890s and 1900s and 1910s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""HISTORY""]","[""German Reich (1871-1945)""]","[""1871"", ""1914""]",1870s and 1880s and 1890s and 1900s and 1910s,ZA8286,"The CFS’s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.","[""10.4232/1.8286""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8286&db=D,24
22,"Can you find datasets related to [[""Crime and law enforcement""]] in [[""Germany""]] during the [1970s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Crime and law enforcement""]","[""Germany""]","[""1978"", ""1978""]",1970s,ZA0977,The Death Penalty (1978),"[""10.4232/1.0977""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0977&db=D,25
23,"Can you find datasets related to [[""Community, urban and rural life"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]] in [[""German Democratic Republic (1949-1990)""]] during the [1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Community, urban and rural life"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""German Democratic Republic (1949-1990)""]","[""1990"", ""1990""]",1990s,ZA6350,Social Situation and Political Orientations of the Jena  Populace before the Municipal Election in May 1990,"[""10.4232/1.6350""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6350&db=D,26
24,"Can you find datasets related to [[""MEDIA, COMMUNICATION AND LANGUAGE"", ""SOCIAL STRATIFICATION AND GROUPINGS""]] in [[""Illinois""]] during the [1940s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""MEDIA, COMMUNICATION AND LANGUAGE"", ""SOCIAL STRATIFICATION AND GROUPINGS""]","[""Illinois""]","[""1945"", ""1945""]",1940s,ZA0241,Decatur Study (Personal Influence),"[""10.4232/1.0241""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0241&db=D,27
25,"Can you find datasets related to [[""Leisure, tourism and sport"", ""Community, urban and rural life"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour""]] in [[""North Rhine-Westphalia""]] during the [1980s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Leisure, tourism and sport"", ""Community, urban and rural life"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour""]","[""North Rhine-Westphalia""]","[""1986"", ""1986""]",1980s,ZA1635,Cologne Study (Reader Analysis of the Koelner Stadt-Anzeiger),"[""10.4232/1.1635""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1635&db=D,28
26,"Can you find datasets related to [[""Compulsory and pre-school education""]] in [[""Schleswig-Holstein""]] during the [2020s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Compulsory and pre-school education""]","[""Schleswig-Holstein""]","[""2021"", ""2023""]",2020s,ZA8874,Learning Progression Analytics - Analysing and Promoting Learning Progressions to Develop Skills (LPA-AFLEK),"[""10.4232/1.14414""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8874&db=D,29
27,"Can you find datasets related to [[""Specific diseases, disorders and medical conditions"", ""MEDIA, COMMUNICATION AND LANGUAGE"", ""Working conditions"", ""Health care services and policies""]] in [[""Germany""]] during the [2020s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Specific diseases, disorders and medical conditions"", ""MEDIA, COMMUNICATION AND LANGUAGE"", ""Working conditions"", ""Health care services and policies""]","[""Germany""]","[""2020"", ""2020""]",2020s,ZA7652,Trend Questions Corona (Week 13/2020),"[""10.4232/1.13581""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7652&db=D,30
28,"Can you find datasets related to [[""Community, urban and rural life"", ""Land use and planning""]] in [[""Germany""]] during the [1960s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Community, urban and rural life"", ""Land use and planning""]","[""Germany""]","[""1968"", ""1968""]",1960s,ZA1157,Preparatory Investigation according to the Law to Promote Urban  Development (Municipality Data),"[""10.4232/1.1157""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1157&db=D,31
29,"Can you find datasets related to [[""Migration"", ""Physical fitness and exercise"", ""Specific diseases, disorders and medical conditions"", ""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Social welfare policy"", ""Specific social services: use and availability"", ""Employment""]] in [[""Germany""]] during the [2020s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Migration"", ""Physical fitness and exercise"", ""Specific diseases, disorders and medical conditions"", ""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Social welfare policy"", ""Specific social services: use and availability"", ""Employment""]","[""Germany""]","[""2021"", ""2021""]",2020s,ZA7759,"German Internet Panel, Wave 51 (January 2021)","[""10.4232/1.13833"", ""10.4232/1.13773""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7759&db=D,32
30,"Can you find datasets related to [[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic systems and development""]] in [[""Germany""]] during the [1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic systems and development""]","[""Germany""]","[""1992"", ""1992""]",1990s,ZA3300,Forsa-Bus 1992,"[""10.4232/1.10247"", ""10.4232/1.3300""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3300&db=D,33
31,"Can you find datasets related to [[""International politics and organisations"", ""POLITICS"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Political ideology""]] in [[""Belgium"", ""Bulgaria"", ""Czech Republic"", ""Denmark"", ""Germany"", ""Estonia"", ""Ireland"", ""Greece"", ""Spain"", ""France"", ""Italy"", ""Cyprus"", ""Latvia"", ""Lithuania"", ""Luxembourg"", ""Hungary"", ""Malta"", ""Netherlands"", ""Austria"", ""Poland"", ""Portugal"", ""Romania"", ""Slovenia"", ""Slovakia"", ""Finland"", ""Sweden"", ""Croatia""]] during the [2020s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""International politics and organisations"", ""POLITICS"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Political ideology""]","[""Belgium"", ""Bulgaria"", ""Czech Republic"", ""Denmark"", ""Germany"", ""Estonia"", ""Ireland"", ""Greece"", ""Spain"", ""France"", ""Italy"", ""Cyprus"", ""Latvia"", ""Lithuania"", ""Luxembourg"", ""Hungary"", ""Malta"", ""Netherlands"", ""Austria"", ""Poland"", ""Portugal"", ""Romania"", ""Slovenia"", ""Slovakia"", ""Finland"", ""Sweden"", ""Croatia""]","[""2024"", ""2024""]",2020s,ZA8870,Flash Eurobarometer 550 (EU Challenges and Priorities),"[""10.4232/1.14410""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8870&db=D,34
32,"Can you find datasets related to [[""Business/industrial management and organisation""]] in [[""Rhineland-Palatinate"", ""North Rhine-Westphalia""]] during the [1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Business/industrial management and organisation""]","[""Rhineland-Palatinate"", ""North Rhine-Westphalia""]","[""1992"", ""1992""]",1990s,ZA2326,Situation Report Medium-Sized Companies 1991/20,"[""10.4232/1.2326""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2326&db=D,35
33,"Can you find datasets related to [[""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]] in [[""Germany""]] during the [1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""Germany""]","[""1998"", ""1998""]",1990s,ZA4914,Spring Study 1998,"[""10.4232/1.4914""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4914&db=D,36
34,"Can you find datasets related to [[""Conflict, security and peace"", ""International politics and organisations"", ""Political behaviour and attitudes""]] in [[""Germany""]] during the [2020s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Conflict, security and peace"", ""International politics and organisations"", ""Political behaviour and attitudes""]","[""Germany""]","[""2024"", ""2024""]",2020s,ZA8996,The Berlin Pulse - German Foreign Policy 2024,"[""10.4232/1.14624""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8996&db=D,37
35,"Can you find datasets related to [[""Working conditions"", ""Vocational education and training"", ""Occupational health""]] in [[""Hesse""]] during the [1980s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Working conditions"", ""Vocational education and training"", ""Occupational health""]","[""Hesse""]","[""1983"", ""1984""]",1980s,ZA1376,Youth Industrial Health and Safety in Practice in Hesse from the Perspective of Young People,"[""10.4232/1.1376""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1376&db=D,38
36,"Can you find datasets related to [[""Economic conditions and indicators"", ""Economic policy, public expenditure and revenue"", ""TRADE, INDUSTRY AND MARKETS"", ""Business/industrial management and organisation""]] in [[""Germany""]] during the [2020s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Economic conditions and indicators"", ""Economic policy, public expenditure and revenue"", ""TRADE, INDUSTRY AND MARKETS"", ""Business/industrial management and organisation""]","[""Germany""]","[""2020"", ""2021""]",2020s,ZA7746,"German Business Panel, Covid-19 Survey (2020/2021). Data file for on-site use","[""10.4232/1.13731""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7746&db=D,39
37,"Can you find datasets related to [[""HISTORY"", ""Income, property and investment/saving""]] in [[""Germany""]] during the [1910s and 1920s and 1930s and 1940s and 1950s and 1960s and 1970s and 1980s and 1990s and 2000s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""HISTORY"", ""Income, property and investment/saving""]","[""Germany""]","[""1913"", ""2006""]",1910s and 1920s and 1930s and 1940s and 1950s and 1960s and 1970s and 1980s and 1990s and 2000s,ZA8614,histat - data compilation online: Wages and Salaries (Indices) in Germany 1913/14 - 2006,"[""10.4232/1.12403""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8614&db=D,40
38,"Can you find datasets related to [[""International politics and organisations"", ""Political behaviour and attitudes""]] in [[""Denmark"", ""Germany"", ""Spain"", ""France"", ""Ireland"", ""Italy"", ""Portugal"", ""United Kingdom"", ""Estonia"", ""Hungary"", ""Slovenia""]] during the [2000s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""International politics and organisations"", ""Political behaviour and attitudes""]","[""Denmark"", ""Germany"", ""Spain"", ""France"", ""Ireland"", ""Italy"", ""Portugal"", ""United Kingdom"", ""Estonia"", ""Hungary"", ""Slovenia""]","[""2006"", ""2006""]",2000s,ZA4456,Flash Eurobarometer 197 (Satisfaction with EC Representations in 11 Member States),"[""10.4232/1.4456""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4456&db=D,41
39,"Can you find datasets related to [[""Economic conditions and indicators"", ""Information society"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Equality, inequality and social exclusion"", ""Cultural and national identity"", ""Social behaviour and attitudes"", ""Religion and values""]] in [[""Germany""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Economic conditions and indicators"", ""Information society"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Equality, inequality and social exclusion"", ""Cultural and national identity"", ""Social behaviour and attitudes"", ""Religion and values""]","[""Germany""]","[""2018"", ""2018""]",2010s,ZA5273,German General Social Survey - ALLBUScompact 2018,"[""10.4232/1.13331""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5273&db=D,42
40,"Can you find datasets related to [[""Employment"", ""Migration"", ""Cultural activities and participation"", ""Equality, inequality and social exclusion"", ""Economic conditions and indicators""]] in [[""German Democratic Republic (1949-1990)""]] during the [1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Employment"", ""Migration"", ""Cultural activities and participation"", ""Equality, inequality and social exclusion"", ""Economic conditions and indicators""]","[""German Democratic Republic (1949-1990)""]","[""1990"", ""1990""]",1990s,ZA6342,Foreigners in Eastern Germany 1990,"[""10.4232/1.6342""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6342&db=D,44
41,"Can you find datasets related to [[""university"", ""university policy"", ""digitalization"", ""artificial intelligence"", ""university research""]] in [[""Germany""]] during the [2020s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""university"", ""university policy"", ""digitalization"", ""artificial intelligence"", ""university research""]","[""Germany""]","[""2023"", ""2024""]",2020s,SDN-10.7802-2822,Monitor Digitalisierung 360° - WiSe 2023/24,[],https://data.gesis.org/sharing/#!Detail/10.7802/2822,45
42,"Can you find datasets related to [[""Business/industrial management and organisation"", ""Media""]] in [[""Germany""]] during the [1960s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Business/industrial management and organisation"", ""Media""]","[""Germany""]","[""1967"", ""1967""]",1960s,ZA0265,"Reader Analysis of the Mannesmann Company Magazine, UNSER WERKTAG","[""10.4232/1.0265""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0265&db=D,46
43,"Can you find datasets related to [[""Social behaviour and attitudes"", ""Crime and law enforcement"", ""International politics and organisations"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic conditions and indicators"", ""Economic policy, public expenditure and revenue"", ""Economic systems and development""]] in [[""Berlin"", ""Baden-Württemberg"", ""Bavaria"", ""Bremen"", ""Hesse"", ""Hamburg"", ""Lower Saxony"", ""North Rhine-Westphalia"", ""Rhineland-Palatinate"", ""Saarland"", ""Schleswig-Holstein""]] during the [1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Social behaviour and attitudes"", ""Crime and law enforcement"", ""International politics and organisations"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic conditions and indicators"", ""Economic policy, public expenditure and revenue"", ""Economic systems and development""]","[""Berlin"", ""Baden-Württemberg"", ""Bavaria"", ""Bremen"", ""Hesse"", ""Hamburg"", ""Lower Saxony"", ""North Rhine-Westphalia"", ""Rhineland-Palatinate"", ""Saarland"", ""Schleswig-Holstein""]","[""1994"", ""1994""]",1990s,ZA2546,Election Study 1994: Politbarometer West 1994 (Trend Investigations),"[""10.4232/1.2546""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2546&db=D,48
44,"Can you find datasets related to [[""HISTORY""]] in [[""Germany""]] during the [1940s and 1950s and 1960s and 1970s and 1980s and 1990s and 2000s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""HISTORY""]","[""Germany""]","[""1949"", ""2001""]",1940s and 1950s and 1960s and 1970s and 1980s and 1990s and 2000s,ZA8202,Universities in the Federal Republic of Germany 1949-2001,"[""10.4232/1.8202""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8202&db=D,49
