query_id,query_variant,source_dataset_id,source_title,query_text,query_topics,query_countries,query_time_collection_years,relevant_dataset_id,relevant_title,relevant_topic,relevant_country,relevant_time_collection_years
47,V3_TITLE_ONLY,ZA2546,Election Study 1994: Politbarometer West 1994 (Trend Investigations),Can you find the dataset titled [Election Study 1994: Politbarometer West 1994 (Trend Investigations)]?,nan,nan,nan,ZA2546,Election Study 1994: Politbarometer West 1994 (Trend Investigations),"[""Social behaviour and attitudes"", ""Crime and law enforcement"", ""International politics and organisations"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic conditions and indicators"", ""Economic policy,  public expenditure and revenue"", ""Economic systems and development""]","[""Berlin"", ""Baden-Württemberg"", ""Bavaria"", ""Bremen"", ""Hesse"", ""Hamburg"", ""Lower Saxony"", ""North Rhine-Westphalia"", ""Rhineland-Palatinate"", ""Saarland"", ""Schleswig-Holstein""]","[""1994"", ""1994""]"
48,V3_TITLE_ONLY,ZA8202,Universities in the Federal Republic of Germany 1949-2001,Can you find the dataset titled [Universities in the Federal Republic of Germany 1949-2001]?,nan,nan,nan,ZA8202,Universities in the Federal Republic of Germany 1949-2001,"[""HISTORY""]","[""Germany""]","[""1949"", ""2001""]"
49,V3_TITLE_ONLY,ZA8256,The Growth of the German Economy since the Middle of the 19th Century. Chapter: Population and Employment,Can you find the dataset titled [The Growth of the German Economy since the Middle of the 19th Century. Chapter: Population and Employment]?,nan,nan,nan,ZA8256,The Growth of the German Economy since the Middle of the 19th Century. Chapter: Population and Employment,"[""HISTORY""]","[""Historical German lands (-1871)"", ""German Reich (1871-1945)"", ""Germany"", """"]","[""1850"", ""1959""]"
50,V3_TITLE_ONLY,ZA0167,Social Structure in the Lignite Area West of the Rhine (Relocated Villages),Can you find the dataset titled [Social Structure in the Lignite Area West of the Rhine (Relocated Villages)]?,nan,nan,nan,ZA0167,Social Structure in the Lignite Area West of the Rhine (Relocated Villages),"[""Community, urban and rural life""]","[""North Rhine-Westphalia""]","[""1963"", ""1963""]"
51,V3_TITLE_ONLY,ZA1441,Education and Life,Can you find the dataset titled [Education and Life]?,nan,nan,nan,ZA1441,Education and Life,"[""Employment"", ""Vocational education and training"", ""Higher and further education"", ""Social conditions and indicators"", ""Family life and marriage""]","[""North Rhine-Westphalia""]","[""1984"", ""1985""]"
52,V3_TITLE_ONLY,SDN-10.7802-2388,CROCorp: Corpus of Parliamentary Debates in Croatia,Can you find the dataset titled [CROCorp: Corpus of Parliamentary Debates in Croatia]?,nan,nan,nan,SDN-10.7802-2388,CROCorp: Corpus of Parliamentary Debates in Croatia,"[""parliamentary debate"", ""Croatia""]","[""Croatia""]","[""2003"", ""2020""]"
53,V3_TITLE_ONLY,ZA8738,Crisis Monitor (Week 8/2024),Can you find the dataset titled [Crisis Monitor (Week 8/2024)]?,nan,nan,nan,ZA8738,Crisis Monitor (Week 8/2024),"[""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Political ideology""]","[""Germany""]","[""2024"", ""2024""]"
54,V3_TITLE_ONLY,ZA0322,Attitude to Demonstrations and to the SDS,Can you find the dataset titled [Attitude to Demonstrations and to the SDS]?,nan,nan,nan,ZA0322,Attitude to Demonstrations and to the SDS,"[""Higher and further education"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]","[""Germany""]","[""1968"", ""1968""]"
55,V3_TITLE_ONLY,ZA6146,Partners III - Apprentices 1990,Can you find the dataset titled [Partners III - Apprentices 1990]?,nan,nan,nan,ZA6146,Partners III - Apprentices 1990,"[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""]","[""German Democratic Republic (1949-1990)""]","[""1990"", ""1990""]"
56,V3_TITLE_ONLY,ZA1648,Politbarometer (October 1987),Can you find the dataset titled [Politbarometer (October 1987)]?,nan,nan,nan,ZA1648,Politbarometer (October 1987),,,
57,V3_TITLE_ONLY,ZA5575,Group-oriented animosity against people (GMF-Survey 2010),Can you find the dataset titled [Group-oriented animosity against people (GMF-Survey 2010)]?,nan,nan,nan,ZA5575,Group-oriented animosity against people (GMF-Survey 2010),"[""Political behaviour and attitudes"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Minorities"", ""Equality, inequality and social exclusion"", ""Cultural and national identity""]","[""Germany""]","[""2010"", ""2010""]"
58,V3_TITLE_ONLY,ZA6563,Schoolchildren Interval Study Health Education and Maintaining  Health 1987 to 1991 (Waves 1 to 3),Can you find the dataset titled [Schoolchildren Interval Study Health Education and Maintaining Health 1987 to 1991 (Waves 1 to 3)]?,nan,nan,nan,ZA6563,Schoolchildren Interval Study Health Education and Maintaining  Health 1987 to 1991 (Waves 1 to 3),"[""Diet and nutrition"", ""General health and well-being"", ""Medication and treatment"", ""Specific diseases, disorders and medical conditions""]","[""German Democratic Republic (1949-1990)""]","[""1987"", ""1991""]"
59,V3_TITLE_ONLY,ZA8737,Social and Political Attitudes 2024 (Cumulated Data Set),Can you find the dataset titled [Social and Political Attitudes 2024 (Cumulated Data Set)]?,nan,nan,nan,ZA8737,Social and Political Attitudes 2024 (Cumulated Data Set),"[""Government, political systems and organisations"", ""International politics and organisations"", ""Political behaviour and attitudes""]","[""Germany""]","[""2024"", ""2024""]"
60,V3_TITLE_ONLY,ZA7131,Sofortresonanzen DDR Fernsehen 30. Woche 1984 (SFR 30/84,Can you find the dataset titled [Sofortresonanzen DDR Fernsehen 30. Woche 1984 (SFR 30/84]?,nan,nan,nan,ZA7131,Sofortresonanzen DDR Fernsehen 30. Woche 1984 (SFR 30/84,"[""Media""]","[""German Democratic Republic (1949-1990)""]","[""1984"", ""1984""]"
61,V3_TITLE_ONLY,ZA4659,"Personality, Motives, and Human Capital as Explanations for Business Success","Can you find the dataset titled [Personality, Motives, and Human Capital as Explanations for Business Success]?",nan,nan,nan,ZA4659,"Personality, Motives, and Human Capital as Explanations for Business Success","[""Employment"", ""Business/industrial management and organisation"", ""PSYCHOLOGY""]","[""Germany""]","[""2002"", ""2003""]"
62,V3_TITLE_ONLY,SDN-10.7802-2567,Code/Syntax: Homeoffice und suchthaftes Arbeiten in Deutschland,Can you find the dataset titled [Code/Syntax: Homeoffice und suchthaftes Arbeiten in Deutschland]?,nan,nan,nan,SDN-10.7802-2567,Code/Syntax: Homeoffice und suchthaftes Arbeiten in Deutschland,"[""digitalization"", ""telecommuting"", ""workaholism"", ""job performance""]","[""Germany""]","[""2017"", ""2018""]"
63,V3_TITLE_ONLY,ZA0527,Young People in Organized Leisure Time,Can you find the dataset titled [Young People in Organized Leisure Time]?,nan,nan,nan,ZA0527,Young People in Organized Leisure Time,"[""Leisure, tourism and sport"", ""Youth""]","[""Germany""]","[""1966"", ""1966""]"
64,V3_TITLE_ONLY,ZA7204,Sofortresonanzen DDR Fernsehen 51. Woche 1985 (SFR 51/85),Can you find the dataset titled [Sofortresonanzen DDR Fernsehen 51. Woche 1985 (SFR 51/85)]?,nan,nan,nan,ZA7204,Sofortresonanzen DDR Fernsehen 51. Woche 1985 (SFR 51/85),"[""Media""]","[""German Democratic Republic (1949-1990)""]","[""1985"", ""1985""]"
65,V3_TITLE_ONLY,ZA5642,State Election in Saarland 2012,Can you find the dataset titled [State Election in Saarland 2012]?,nan,nan,nan,ZA5642,State Election in Saarland 2012,"[""Political behaviour and attitudes"", ""Elections""]","[""Saarland""]","[""2012"", ""2012""]"
66,V3_TITLE_ONLY,ZA3331,Opinions and Values of Egyptian Students in West Germany,Can you find the dataset titled [Opinions and Values of Egyptian Students in West Germany]?,nan,nan,nan,ZA3331,Opinions and Values of Egyptian Students in West Germany,"[""Higher and further education"", ""Media"", ""International politics and organisations"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""SOCIAL STRATIFICATION AND GROUPINGS""]","[""Germany""]","[""1964"", ""1965""]"
67,V3_TITLE_ONLY,SDN-10.7802-2783,"Food for Justice: Power, Politics, and Food Inequalities in a Bioeconomy (Berlin, 2024)","Can you find the dataset titled [Food for Justice: Power, Politics, and Food Inequalities in a Bioeconomy (Berlin, 2024)]?",nan,nan,nan,SDN-10.7802-2783,"Food for Justice: Power, Politics, and Food Inequalities in a Bioeconomy (Berlin, 2024)","[""protest movement"", ""agricultural policy"", ""nutrition policy""]","[""Germany"", ""Berlin""]","[""2024"", ""2024""]"
