query_id,query_text,query_variant,query_topics,query_countries,query_time_collection_years,query_time_display,source_dataset_id,source_title,source_doi,source_portal_url,source_row
28,Can you find the dataset titled [Learning Progression Analytics - Analysing and Promoting Learning Progressions to Develop Skills (LPA-AFLEK)]?,V3_TITLE_ONLY,,,,,ZA8874,Learning Progression Analytics - Analysing and Promoting Learning Progressions to Develop Skills (LPA-AFLEK),"[""10.4232/1.14414""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8874&db=D,29
29,Can you find the dataset titled [Trend Questions Corona (Week 13/2020)]?,V3_TITLE_ONLY,,,,,ZA7652,Trend Questions Corona (Week 13/2020),"[""10.4232/1.13581""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7652&db=D,30
30,Can you find the dataset titled [Preparatory Investigation according to the Law to Promote Urban Development (Municipality Data)]?,V3_TITLE_ONLY,,,,,ZA1157,Preparatory Investigation according to the Law to Promote Urban  Development (Municipality Data),"[""10.4232/1.1157""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1157&db=D,31
31,"Can you find the dataset titled [German Internet Panel, Wave 51 (January 2021)]?",V3_TITLE_ONLY,,,,,ZA7759,"German Internet Panel, Wave 51 (January 2021)","[""10.4232/1.13833"", ""10.4232/1.13773""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7759&db=D,32
32,Can you find the dataset titled [Forsa-Bus 1992]?,V3_TITLE_ONLY,,,,,ZA3300,Forsa-Bus 1992,"[""10.4232/1.10247"", ""10.4232/1.3300""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3300&db=D,33
33,Can you find the dataset titled [Flash Eurobarometer 550 (EU Challenges and Priorities)]?,V3_TITLE_ONLY,,,,,ZA8870,Flash Eurobarometer 550 (EU Challenges and Priorities),"[""10.4232/1.14410""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8870&db=D,34
34,Can you find the dataset titled [Situation Report Medium-Sized Companies 1991/20]?,V3_TITLE_ONLY,,,,,ZA2326,Situation Report Medium-Sized Companies 1991/20,"[""10.4232/1.2326""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2326&db=D,35
35,Can you find the dataset titled [Spring Study 1998]?,V3_TITLE_ONLY,,,,,ZA4914,Spring Study 1998,"[""10.4232/1.4914""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4914&db=D,36
36,Can you find the dataset titled [The Berlin Pulse - German Foreign Policy 2024]?,V3_TITLE_ONLY,,,,,ZA8996,The Berlin Pulse - German Foreign Policy 2024,"[""10.4232/1.14624""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8996&db=D,37
37,Can you find the dataset titled [Youth Industrial Health and Safety in Practice in Hesse from the Perspective of Young People]?,V3_TITLE_ONLY,,,,,ZA1376,Youth Industrial Health and Safety in Practice in Hesse from the Perspective of Young People,"[""10.4232/1.1376""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1376&db=D,38
38,"Can you find the dataset titled [German Business Panel, Covid-19 Survey (2020/2021). Data file for on-site use]?",V3_TITLE_ONLY,,,,,ZA7746,"German Business Panel, Covid-19 Survey (2020/2021). Data file for on-site use","[""10.4232/1.13731""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7746&db=D,39
39,Can you find the dataset titled [histat - data compilation online: Wages and Salaries (Indices) in Germany 1913/14 - 2006]?,V3_TITLE_ONLY,,,,,ZA8614,histat - data compilation online: Wages and Salaries (Indices) in Germany 1913/14 - 2006,"[""10.4232/1.12403""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8614&db=D,40
40,Can you find the dataset titled [Flash Eurobarometer 197 (Satisfaction with EC Representations in 11 Member States)]?,V3_TITLE_ONLY,,,,,ZA4456,Flash Eurobarometer 197 (Satisfaction with EC Representations in 11 Member States),"[""10.4232/1.4456""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4456&db=D,41
41,Can you find the dataset titled [German General Social Survey - ALLBUScompact 2018]?,V3_TITLE_ONLY,,,,,ZA5273,German General Social Survey - ALLBUScompact 2018,"[""10.4232/1.13331""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5273&db=D,42
42,Can you find the dataset titled [MEDem User Survey 2024]?,V3_TITLE_ONLY,,,,,SDN-10.7802-2839,MEDem User Survey 2024,[],https://data.gesis.org/sharing/#!Detail/10.7802/2839,43
43,Can you find the dataset titled [Foreigners in Eastern Germany 1990]?,V3_TITLE_ONLY,,,,,ZA6342,Foreigners in Eastern Germany 1990,"[""10.4232/1.6342""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6342&db=D,44
44,Can you find the dataset titled [Monitor Digitalisierung 360° - WiSe 2023/24]?,V3_TITLE_ONLY,,,,,SDN-10.7802-2822,Monitor Digitalisierung 360° - WiSe 2023/24,[],https://data.gesis.org/sharing/#!Detail/10.7802/2822,45
45,"Can you find the dataset titled [Reader Analysis of the Mannesmann Company Magazine, UNSER WERKTAG]?",V3_TITLE_ONLY,,,,,ZA0265,"Reader Analysis of the Mannesmann Company Magazine, UNSER WERKTAG","[""10.4232/1.0265""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0265&db=D,46
46,Can you find the dataset titled [Dataset of Italian Municipal Unions (Intermunicipal Cooperation forms). 1996-2015.]?,V3_TITLE_ONLY,,,,,SDN-10.7802-1754,Dataset of Italian Municipal Unions (Intermunicipal Cooperation forms). 1996-2015.,[],https://data.gesis.org/sharing/#!Detail/10.7802/1754,47
47,Can you find the dataset titled [Election Study 1994: Politbarometer West 1994 (Trend Investigations)]?,V3_TITLE_ONLY,,,,,ZA2546,Election Study 1994: Politbarometer West 1994 (Trend Investigations),"[""10.4232/1.2546""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2546&db=D,48
48,Can you find the dataset titled [Universities in the Federal Republic of Germany 1949-2001]?,V3_TITLE_ONLY,,,,,ZA8202,Universities in the Federal Republic of Germany 1949-2001,"[""10.4232/1.8202""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8202&db=D,49
49,Can you find the dataset titled [The Growth of the German Economy since the Middle of the 19th Century. Chapter: Population and Employment]?,V3_TITLE_ONLY,,,,,ZA8256,The Growth of the German Economy since the Middle of the 19th Century. Chapter: Population and Employment,"[""10.4232/1.8256""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8256&db=D,50
50,Can you find the dataset titled [Social Structure in the Lignite Area West of the Rhine (Relocated Villages)]?,V3_TITLE_ONLY,,,,,ZA0167,Social Structure in the Lignite Area West of the Rhine (Relocated Villages),"[""10.4232/1.0167""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0167&db=D,51
51,Can you find the dataset titled [Education and Life]?,V3_TITLE_ONLY,,,,,ZA1441,Education and Life,"[""10.4232/1.1441""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1441&db=D,52
52,Can you find the dataset titled [CROCorp: Corpus of Parliamentary Debates in Croatia]?,V3_TITLE_ONLY,,,,,SDN-10.7802-2388,CROCorp: Corpus of Parliamentary Debates in Croatia,[],https://data.gesis.org/sharing/#!Detail/10.7802/2388,53
53,Can you find the dataset titled [Crisis Monitor (Week 8/2024)]?,V3_TITLE_ONLY,,,,,ZA8738,Crisis Monitor (Week 8/2024),"[""10.4232/1.14353""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8738&db=D,54
54,Can you find the dataset titled [Attitude to Demonstrations and to the SDS]?,V3_TITLE_ONLY,,,,,ZA0322,Attitude to Demonstrations and to the SDS,"[""10.4232/1.0322""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0322&db=D,55
55,Can you find the dataset titled [Partners III - Apprentices 1990]?,V3_TITLE_ONLY,,,,,ZA6146,Partners III - Apprentices 1990,"[""10.4232/1.6146""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6146&db=D,56
56,Can you find the dataset titled [Politbarometer (October 1987)]?,V3_TITLE_ONLY,,,,,ZA1648,Politbarometer (October 1987),"[""10.4232/1.1648""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1648&db=D,57
57,Can you find the dataset titled [Group-oriented animosity against people (GMF-Survey 2010)]?,V3_TITLE_ONLY,,,,,ZA5575,Group-oriented animosity against people (GMF-Survey 2010),"[""10.4232/1.11806""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5575&db=D,58
58,Can you find the dataset titled [Schoolchildren Interval Study Health Education and Maintaining Health 1987 to 1991 (Waves 1 to 3)]?,V3_TITLE_ONLY,,,,,ZA6563,Schoolchildren Interval Study Health Education and Maintaining  Health 1987 to 1991 (Waves 1 to 3),"[""10.4232/1.6563""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6563&db=D,59
59,Can you find the dataset titled [Social and Political Attitudes 2024 (Cumulated Data Set)]?,V3_TITLE_ONLY,,,,,ZA8737,Social and Political Attitudes 2024 (Cumulated Data Set),"[""10.4232/1.14533"", ""10.4232/1.14473"", ""10.4232/1.14449"", ""10.4232/1.14352""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8737&db=D,60
60,Can you find the dataset titled [Sofortresonanzen DDR Fernsehen 30. Woche 1984 (SFR 30/84]?,V3_TITLE_ONLY,,,,,ZA7131,Sofortresonanzen DDR Fernsehen 30. Woche 1984 (SFR 30/84,"[""10.4232/1.7131""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7131&db=D,61
61,"Can you find the dataset titled [Personality, Motives, and Human Capital as Explanations for Business Success]?",V3_TITLE_ONLY,,,,,ZA4659,"Personality, Motives, and Human Capital as Explanations for Business Success","[""10.4232/1.4659""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4659&db=D,62
62,Can you find the dataset titled [Code/Syntax: Homeoffice und suchthaftes Arbeiten in Deutschland]?,V3_TITLE_ONLY,,,,,SDN-10.7802-2567,Code/Syntax: Homeoffice und suchthaftes Arbeiten in Deutschland,[],https://data.gesis.org/sharing/#!Detail/10.7802/2567,63
63,Can you find the dataset titled [Young People in Organized Leisure Time]?,V3_TITLE_ONLY,,,,,ZA0527,Young People in Organized Leisure Time,"[""10.4232/1.0527""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0527&db=D,64
64,Can you find the dataset titled [Sofortresonanzen DDR Fernsehen 51. Woche 1985 (SFR 51/85)]?,V3_TITLE_ONLY,,,,,ZA7204,Sofortresonanzen DDR Fernsehen 51. Woche 1985 (SFR 51/85),"[""10.4232/1.7204""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7204&db=D,65
65,Can you find the dataset titled [State Election in Saarland 2012]?,V3_TITLE_ONLY,,,,,ZA5642,State Election in Saarland 2012,"[""10.4232/1.13078"", ""10.4232/1.11826""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5642&db=D,66
66,Can you find the dataset titled [Opinions and Values of Egyptian Students in West Germany]?,V3_TITLE_ONLY,,,,,ZA3331,Opinions and Values of Egyptian Students in West Germany,"[""10.4232/1.3331""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3331&db=D,67
67,"Can you find the dataset titled [Food for Justice: Power, Politics, and Food Inequalities in a Bioeconomy (Berlin, 2024)]?",V3_TITLE_ONLY,,,,,SDN-10.7802-2783,"Food for Justice: Power, Politics, and Food Inequalities in a Bioeconomy (Berlin, 2024)",[],https://data.gesis.org/sharing/#!Detail/10.7802/2783,68
68,"Can you find the dataset titled [Code/Syntax: Socio-Economic Status, Comparisons of Subjective Affectedness and Life Satisfaction During the COVID-19 Pandemic in Germany]?",V3_TITLE_ONLY,,,,,SDN-10.7802-2882,"Code/Syntax: Socio-Economic Status, Comparisons of Subjective Affectedness and Life Satisfaction During the COVID-19 Pandemic in Germany",[],https://data.gesis.org/sharing/#!Detail/10.7802/2882,69
69,Can you find the dataset titled [Consumer Analysis 87]?,V3_TITLE_ONLY,,,,,ZA1639,Consumer Analysis 87,"[""10.4232/1.1639""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1639&db=D,70
70,Can you find the dataset titled [Sociological Investigation - Jena 1988]?,V3_TITLE_ONLY,,,,,ZA6363,Sociological Investigation - Jena 1988,"[""10.4232/1.6363""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6363&db=D,71
71,Can you find the dataset titled [International Social Survey Programme: Social Relations and Support Systems - ISSP 2001]?,V3_TITLE_ONLY,,,,,ZA3680,International Social Survey Programme: Social Relations and Support Systems - ISSP 2001,"[""10.4232/1.3680""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3680&db=D,72
72,Can you find the dataset titled [Flash Eurobarometer 313 (User Language Preferences Online)]?,V3_TITLE_ONLY,,,,,ZA5473,Flash Eurobarometer 313 (User Language Preferences Online),"[""10.4232/1.10730""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5473&db=D,73
73,Can you find the dataset titled [Political Resonance 1995]?,V3_TITLE_ONLY,,,,,ZA2820,Political Resonance 1995,"[""10.4232/1.14201"", ""10.4232/1.2820""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2820&db=D,74
74,Can you find the dataset titled [Based on ISSP 2018: A Cross-national and Comparative Study of Religion of Additional 14 Countries]?,V3_TITLE_ONLY,,,,,ZA7630,Based on ISSP 2018: A Cross-national and Comparative Study of Religion of Additional 14 Countries,"[""10.4232/1.13517""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7630&db=D,75
75,Can you find the dataset titled [International Relations (February 1963)]?,V3_TITLE_ONLY,,,,,ZA1976,International Relations (February 1963),"[""10.4232/1.1976""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1976&db=D,76
76,Can you find the dataset titled [Flash Eurobarometer 383 (Firearms in the European Union)]?,V3_TITLE_ONLY,,,,,ZA5897,Flash Eurobarometer 383 (Firearms in the European Union),"[""10.4232/1.11958""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5897&db=D,77
77,Can you find the dataset titled [Party Preferences Czech Republic 2000 (Trend)]?,V3_TITLE_ONLY,,,,,ZA3891,Party Preferences Czech Republic 2000 (Trend),"[""10.4232/1.3891""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3891&db=D,78
78,Can you find the dataset titled [International Social Survey Programme: National Identity III - ISSP 2013 (Netherlands)]?,V3_TITLE_ONLY,,,,,ZA5517,International Social Survey Programme: National Identity III - ISSP 2013 (Netherlands),"[""10.4232/1.12921""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5517&db=D,79
79,Can you find the dataset titled [The Reichstag Elections and Reich Presidential Elections in Kiel 1925-1932]?,V3_TITLE_ONLY,,,,,ZA8080,The Reichstag Elections and Reich Presidential Elections in Kiel 1925-1932,"[""10.4232/1.8080""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8080&db=D,80
80,Can you find the dataset titled [Attitudes to Security Policy in the Federal Republic (November - December 1982)]?,V3_TITLE_ONLY,,,,,ZA1853,Attitudes to Security Policy in the Federal Republic (November - December 1982),"[""10.4232/1.1853""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1853&db=D,81
81,Can you find the dataset titled [Crime in the Modern City 2007]?,V3_TITLE_ONLY,,,,,ZA8859,Crime in the Modern City 2007,"[""10.4232/1.14600""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8859&db=D,82
82,Can you find the dataset titled [MZ 1998]?,V3_TITLE_ONLY,,,,,missy-mz-1998,MZ 1998,,http://www.gesis.org/missy/metadata/MZ/1998,83
83,"Can you find the dataset titled [Long-term Online Tracking, T27 (GLES)]?",V3_TITLE_ONLY,,,,,ZA5727,"Long-term Online Tracking, T27 (GLES)","[""10.4232/1.12282"", ""10.4232/1.12213""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5727&db=D,84
84,Can you find the dataset titled [Comparative National Development Project (Uruguay)]?,V3_TITLE_ONLY,,,,,ZA0401,Comparative National Development Project (Uruguay),"[""10.4232/1.0401""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0401&db=D,85
85,Can you find the dataset titled [International Social Survey Programme: Work Orientations IV - ISSP 2015 (Turkey)]?,V3_TITLE_ONLY,,,,,ZA5520,International Social Survey Programme: Work Orientations IV - ISSP 2015 (Turkey),"[""10.4232/1.13059""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5520&db=D,86
86,Can you find the dataset titled [EVS - European Values Study 1999 - Great Britain]?,V3_TITLE_ONLY,,,,,ZA3777,EVS - European Values Study 1999 - Great Britain,"[""10.4232/1.11535"", ""10.4232/1.3777"", ""10.4232/1.11172""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3777&db=D,87
87,Can you find the dataset titled [Young People and Adults '85 (Adult)]?,V3_TITLE_ONLY,,,,,ZA1439,Young People and Adults '85 (Adult),"[""10.4232/1.1439""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1439&db=D,88
88,Can you find the dataset titled [Flash Eurobarometer 223 (Euro Introduction in Malta)]?,V3_TITLE_ONLY,,,,,ZA4809,Flash Eurobarometer 223 (Euro Introduction in Malta),"[""10.4232/1.4809""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4809&db=D,89
89,"Can you find the dataset titled [Election Study 1987 (Politbarometer, November 1986)]?",V3_TITLE_ONLY,,,,,ZA1529,"Election Study 1987 (Politbarometer, November 1986)","[""10.4232/1.1529""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1529&db=D,90
90,Can you find the dataset titled [Sofortresonanzen DDR Fernsehen 21. Woche 1986 (SFR 21/86)]?,V3_TITLE_ONLY,,,,,ZA7226,Sofortresonanzen DDR Fernsehen 21. Woche 1986 (SFR 21/86),"[""10.4232/1.10467""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7226&db=D,91
91,Can you find the dataset titled [Representatives in the Reichstag in the Weimar Republic 1919-1933]?,V3_TITLE_ONLY,,,,,ZA8007,Representatives in the Reichstag in the Weimar Republic 1919-1933,"[""10.4232/1.8007""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8007&db=D,92
92,Can you find the dataset titled [Auditory Participation February 1989 Supplement: „Berliner Luft“]?,V3_TITLE_ONLY,,,,,ZA6543,Auditory Participation February 1989 Supplement: „Berliner Luft“,"[""10.4232/1.6543""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6543&db=D,93
93,Can you find the dataset titled [Eurobarometer 47.2 (Apr-Jun 1997)]?,V3_TITLE_ONLY,,,,,ZA2937,Eurobarometer 47.2 (Apr-Jun 1997),"[""10.4232/1.10927"", ""10.4232/1.2937""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2937&db=D,94
94,Can you find the dataset titled [Shoemakers]?,V3_TITLE_ONLY,,,,,ZA0418,Shoemakers,"[""10.4232/1.0418""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0418&db=D,95
95,"Can you find the dataset titled [GLES Tracking October 2022, T53]?",V3_TITLE_ONLY,,,,,ZA7711,"GLES Tracking October 2022, T53","[""10.4232/1.14036""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7711&db=D,96
96,Can you find the dataset titled [Datenaufbereitung der MA-IntermediaPlus: Teil 3]?,V3_TITLE_ONLY,,,,,SDN-10.7802-2341,Datenaufbereitung der MA-IntermediaPlus: Teil 3,[],https://data.gesis.org/sharing/#!Detail/10.7802/2341,97
97,Can you find the dataset titled [EUvox2014: Voting Advice Application data for the 2014 European Parliament elections]?,V3_TITLE_ONLY,,,,,SDN-10.7802-1750,EUvox2014: Voting Advice Application data for the 2014 European Parliament elections,[],https://data.gesis.org/sharing/#!Detail/10.7802/1750,98
98,Can you find the dataset titled [Prevention Survey Rhineland-Palatinate (2006 and 2010)]?,V3_TITLE_ONLY,,,,,ZA5533,Prevention Survey Rhineland-Palatinate (2006 and 2010),"[""10.4232/1.13342""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5533&db=D,99
