query_id;mode;query_text;verdict;openai_model;openai_hit_at_k;openai_strict_hit_at_k;openai_title_match_hit_at_k;openai_gesis_relevant_hit_at_k;openai_strict_gesis_relevant_hit_at_k;openai_source_hit_at_k;openai_strict_source_hit_at_k;openai_selected_title;openai_selected_url_or_doi;openai_selected_matched_dataset_id;openai_selected_match_method;openwebui_model;openwebui_hit_at_k;openwebui_strict_hit_at_k;openwebui_title_match_hit_at_k;openwebui_gesis_relevant_hit_at_k;openwebui_strict_gesis_relevant_hit_at_k;openwebui_source_hit_at_k;openwebui_strict_source_hit_at_k;openwebui_selected_title;openwebui_selected_url_or_doi;openwebui_selected_matched_dataset_id;openwebui_selected_match_method
11;WEB_SEARCH;Can you find datasets about HISTORY in South Carolina and Massachusetts during the 1730s and 1740s and 1750s and 1760s and 1770s and 1780s and 1790s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
12;WEB_SEARCH;Can you find datasets about Leisure, tourism and sport, Social behaviour and attitudes, Media, TRANSPORT AND TRAVEL, Consumption and consumer behaviour, Economic systems and development, and Economic conditions and indicators in Finland during the 1960s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
13;WEB_SEARCH;Can you find datasets about Employment and Higher and further education in Bavaria during the 1970s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
14;WEB_SEARCH;Can you find datasets about Social conditions and indicators, Political behaviour and attitudes, Government, political systems and organisations, and Elections in Germany during the 1990s?;openai_strict_gesis_only;chat-latest;1;1;1;1;1;0;0;;;;;gpt-5.4;1;0;1;1;0;0;0;;;;
15;WEB_SEARCH;Can you find datasets about Youth, EDUCATION, Higher and further education, Migration, Social behaviour and attitudes, Leisure, tourism and sport, Children, and Family life and marriage in Germany during the 2010s?;openai_strict_gesis_only;chat-latest;1;1;1;1;1;0;0;;;;;gpt-5.4;1;0;1;1;0;0;0;;;;
16;WEB_SEARCH;Can you find datasets about Community, urban and rural life, Cultural activities and participation, Political behaviour and attitudes, Government, political systems and organisations, and Housing in North Rhine-Westphalia during the 2000s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
17;WEB_SEARCH;Can you find datasets about Business/industrial management and organisation and Economic systems and development in Belgium, Germany, Denmark, France, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, and Great Britain during the 1990s?;openai_strict_gesis_only;chat-latest;1;1;1;1;1;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
18;WEB_SEARCH;Can you find datasets about HISTORY in German Reich (1871-1945) during the 1900s and 1910s and 1920s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
19;WEB_SEARCH;Can you find datasets about Migration, Community, urban and rural life, and Government, political systems and organisations in North Rhine-Westphalia during the 2000s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
20;WEB_SEARCH;Can you find datasets about Employment, Community, urban and rural life, TRADE, INDUSTRY AND MARKETS, and Specific social services: use and availability in Lagos during the 1980s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
21;WEB_SEARCH;Can you find datasets about HISTORY in German Reich (1871-1945) during the 1870s and 1880s and 1890s and 1900s and 1910s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
22;WEB_SEARCH;Can you find datasets about Crime and law enforcement in Germany during the 1970s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
23;WEB_SEARCH;Can you find datasets about Community, urban and rural life, Political behaviour and attitudes, Government, political systems and organisations, and Elections in German Democratic Republic (1949-1990) during the 1990s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
24;WEB_SEARCH;Can you find datasets about MEDIA, COMMUNICATION AND LANGUAGE and SOCIAL STRATIFICATION AND GROUPINGS in Illinois during the 1940s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
25;WEB_SEARCH;Can you find datasets about Leisure, tourism and sport, Community, urban and rural life, TRANSPORT AND TRAVEL, and Consumption and consumer behaviour in North Rhine-Westphalia during the 1980s?;openai_strict_gesis_only;chat-latest;1;1;0;1;1;1;1;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
26;WEB_SEARCH;Can you find datasets about Compulsory and pre-school education in Schleswig-Holstein during the 2020s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
27;WEB_SEARCH;Can you find datasets about Specific diseases, disorders and medical conditions, MEDIA, COMMUNICATION AND LANGUAGE, Working conditions, and Health care services and policies in Germany during the 2020s?;openai_strict_gesis_only;chat-latest;1;1;0;1;1;0;0;;;;;gpt-5.4;1;0;1;1;0;0;0;;;;
28;WEB_SEARCH;Can you find datasets about Community, urban and rural life and Land use and planning in Germany during the 1960s?;openai_strict_gesis_only;chat-latest;1;1;1;1;1;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
29;WEB_SEARCH;Can you find datasets about Migration, Physical fitness and exercise, Specific diseases, disorders and medical conditions, Government, political systems and organisations, Political behaviour and attitudes, Social welfare policy, Specific social services: use and availability, and Employment in Germany during the 2020s?;openwebui_strict_gesis_only;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;1;1;1;1;1;0;0;;;;
30;WEB_SEARCH;Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, Elections, and Economic systems and development in Germany during the 1990s?;both_strict_gesis;chat-latest;1;1;1;1;1;0;0;;;;;gpt-5.4;1;1;1;1;1;0;0;;;;
31;WEB_SEARCH;Can you find datasets about International politics and organisations, POLITICS, Conflict, security and peace, Political behaviour and attitudes, and Political ideology in Belgium, Bulgaria, Czech Republic, Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden, and Croatia during the 2020s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
32;WEB_SEARCH;Can you find datasets about Business/industrial management and organisation in Rhineland-Palatinate and North Rhine-Westphalia during the 1990s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
33;WEB_SEARCH;Can you find datasets about Social behaviour and attitudes, Political behaviour and attitudes, Government, political systems and organisations, and Elections in Germany during the 1990s?;both_strict_gesis;chat-latest;1;1;1;1;1;0;0;;;;;gpt-5.4;1;1;1;1;1;0;0;;;;
34;WEB_SEARCH;Can you find datasets about Conflict, security and peace, International politics and organisations, and Political behaviour and attitudes in Germany during the 2020s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
35;WEB_SEARCH;Can you find datasets about Working conditions, Vocational education and training, and Occupational health in Hesse during the 1980s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
36;WEB_SEARCH;Can you find datasets about Economic conditions and indicators, Economic policy, public expenditure and revenue, TRADE, INDUSTRY AND MARKETS, and Business/industrial management and organisation in Germany during the 2020s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
37;WEB_SEARCH;Can you find datasets about HISTORY and Income, property and investment/saving in Germany during the 1910s and 1920s and 1930s and 1940s and 1950s and 1960s and 1970s and 1980s and 1990s and 2000s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
38;WEB_SEARCH;Can you find datasets about International politics and organisations and Political behaviour and attitudes in Denmark, Germany, Spain, France, Ireland, Italy, Portugal, United Kingdom, Estonia, Hungary, and Slovenia during the 2000s?;neither_strict_gesis;chat-latest;1;0;1;1;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
39;WEB_SEARCH;Can you find datasets about Economic conditions and indicators, Information society, Political behaviour and attitudes, Government, political systems and organisations, Equality, inequality and social exclusion, Cultural and national identity, Social behaviour and attitudes, and Religion and values in Germany during the 2010s?;openwebui_strict_gesis_only;chat-latest;1;0;1;1;0;0;0;;;;;gpt-5.4;1;1;1;1;1;0;0;;;;
40;WEB_SEARCH;Can you find datasets about Employment, Migration, Cultural activities and participation, Equality, inequality and social exclusion, and Economic conditions and indicators in German Democratic Republic (1949-1990) during the 1990s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
41;WEB_SEARCH;Can you find datasets about university, university policy, digitalization, artificial intelligence, and university research in Germany during the 2020s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
42;WEB_SEARCH;Can you find datasets about Business/industrial management and organisation and Media in Germany during the 1960s?;neither_strict_gesis;chat-latest;1;0;1;1;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
43;WEB_SEARCH;Can you find datasets about Social behaviour and attitudes, Crime and law enforcement, International politics and organisations, Conflict, security and peace, Political behaviour and attitudes, Government, political systems and organisations, Elections, Economic conditions and indicators, Economic policy, public expenditure and revenue, and Economic systems and development in Berlin, Baden-Württemberg, Bavaria, Bremen, Hesse, Hamburg, Lower Saxony, North Rhine-Westphalia, Rhineland-Palatinate, Saarland, and Schleswig-Holstein during the 1990s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
44;WEB_SEARCH;Can you find datasets about HISTORY in Germany during the 1940s and 1950s and 1960s and 1970s and 1980s and 1990s and 2000s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
45;WEB_SEARCH;Can you find datasets about HISTORY in Historical German lands (-1871), German Reich (1871-1945), and Germany during the 1850s and 1860s and 1870s and 1880s and 1890s and 1900s and 1910s and 1920s and 1930s and 1940s and 1950s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
46;WEB_SEARCH;Can you find datasets about Community, urban and rural life in North Rhine-Westphalia during the 1960s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
47;WEB_SEARCH;Can you find datasets about Employment, Vocational education and training, Higher and further education, Social conditions and indicators, and Family life and marriage in North Rhine-Westphalia during the 1980s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;1;0;1;1;0;1;0;;;;
48;WEB_SEARCH;Can you find datasets about parliamentary debate and Croatia in Croatia during the 2000s and 2010s and 2020s?;neither_strict_gesis;chat-latest;1;0;1;1;0;1;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
49;WEB_SEARCH;Can you find datasets about Government, political systems and organisations, Political behaviour and attitudes, and Political ideology in Germany during the 2020s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
50;WEB_SEARCH;Can you find datasets about Higher and further education, Political behaviour and attitudes, and Government, political systems and organisations in Germany during the 1960s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
51;WEB_SEARCH;Can you find datasets about Reproductive health, Specific diseases, disorders and medical conditions, and Family life and marriage in German Democratic Republic (1949-1990) during the 1990s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
52;WEB_SEARCH;Can you find datasets about Political behaviour and attitudes, SOCIAL STRATIFICATION AND GROUPINGS, Minorities, Equality, inequality and social exclusion, and Cultural and national identity in Germany during the 2010s?;openwebui_strict_gesis_only;chat-latest;1;0;1;1;0;0;0;;;;;gpt-5.4;1;1;1;1;1;0;0;;;;
53;WEB_SEARCH;Can you find datasets about Diet and nutrition, General health and well-being, Medication and treatment, and Specific diseases, disorders and medical conditions in German Democratic Republic (1949-1990) during the 1980s and 1990s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
54;WEB_SEARCH;Can you find datasets about Government, political systems and organisations, International politics and organisations, and Political behaviour and attitudes in Germany during the 2020s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
55;WEB_SEARCH;Can you find datasets about Employment, Business/industrial management and organisation, and PSYCHOLOGY in Germany during the 2000s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;1;0;1;1;0;0;0;;;;
56;WEB_SEARCH;Can you find datasets about digitalization, telecommuting, workaholism, and job performance in Germany during the 2010s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
57;WEB_SEARCH;Can you find datasets about Leisure, tourism and sport and Youth in Germany during the 1960s?;openai_strict_gesis_only;chat-latest;1;1;1;1;1;1;1;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
58;WEB_SEARCH;Can you find datasets about Political behaviour and attitudes and Elections in Saarland during the 2010s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
59;WEB_SEARCH;Can you find datasets about Higher and further education, Media, International politics and organisations, Political behaviour and attitudes, Government, political systems and organisations, and SOCIAL STRATIFICATION AND GROUPINGS in Germany during the 1960s?;openai_strict_gesis_only;chat-latest;1;1;0;1;1;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
60;WEB_SEARCH;Can you find datasets about protest movement, agricultural policy, and nutrition policy in Germany and Berlin during the 2020s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
61;WEB_SEARCH;Can you find datasets about Consumption and consumer behaviour in Germany during the 1980s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;1;0;1;1;0;0;0;;;;
62;WEB_SEARCH;Can you find datasets about Employment, Leisure, tourism and sport, Community, urban and rural life, and Housing in German Democratic Republic (1949-1990) during the 1980s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
63;WEB_SEARCH;Can you find datasets about Social behaviour and attitudes, SOCIAL STRATIFICATION AND GROUPINGS, and Family life and marriage in Australia, Austria, Brazil, Canada, Chile, Cyprus, Czech Republic, Denmark, Finland, France, Germany, Great Britain, Hungary, Israel, Italy, Japan, Latvia, New Zealand, Northern Ireland, Norway, Philippines, Poland, Russian Federation, Slovenia, Spain, South Africa, Switzerland, and United States of America during the 2000s?;neither_strict_gesis;chat-latest;1;0;1;1;0;1;0;;;;;gpt-5.4;1;0;1;1;0;0;0;;;;
64;WEB_SEARCH;Can you find datasets about Media and Language and linguistics in Belgium, Germany, Spain, Greece, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Slovenia, Cyprus, Malta, Slovakia, Bulgaria, Czech Republic, Denmark, Estonia, Latvia, Hungary, Poland, Romania, Sweden, United Kingdom, and Lithuania during the 2010s?;openai_strict_gesis_only;chat-latest;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;
65;WEB_SEARCH;Can you find datasets about Social behaviour and attitudes, Political behaviour and attitudes, Government, political systems and organisations, and Equality, inequality and social exclusion in Germany during the 1990s?;openai_strict_gesis_only;chat-latest;1;1;0;1;1;0;0;;;;;gpt-5.4;1;0;1;1;0;0;0;;;;
66;WEB_SEARCH;Can you find datasets about Religion and values in Algeria, Ghana, Indonesia, Jordan, Kenya, Cambodia, Sri Lanka, Mongolia, Malawi, Malaysia, Nigeria, Nepal, Singapore, and Viet Nam during the 2010s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
67;WEB_SEARCH;Can you find datasets about International politics and organisations and Conflict, security and peace in France, Great Britain, Germany, and Italy during the 1960s?;openai_strict_gesis_only;chat-latest;1;1;1;1;1;1;1;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
68;WEB_SEARCH;Can you find datasets about LAW, CRIME AND LEGAL SYSTEMS, Crime and law enforcement, and International politics and organisations in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, and Croatia during the 2010s?;openai_strict_gesis_only;chat-latest;1;1;1;1;1;0;0;;;;;gpt-5.4;1;0;1;1;0;0;0;;;;
69;WEB_SEARCH;Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, and Elections in Czech Republic during the 2000s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;1;0;1;1;0;0;0;;;;
70;WEB_SEARCH;Can you find datasets about Cultural and national identity, Minorities, International politics and organisations, and Migration in Netherlands during the 2010s?;openwebui_strict_gesis_only;chat-latest;1;0;1;1;0;0;0;;;;;gpt-5.4;1;1;1;1;1;0;0;;;;
71;WEB_SEARCH;Can you find datasets about HISTORY in German Reich (1871-1945) during the 1920s and 1930s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
72;WEB_SEARCH;Can you find datasets about International politics and organisations, Conflict, security and peace, Government, political systems and organisations, and Economic systems and development in Germany during the 1980s?;both_strict_gesis;chat-latest;1;1;0;1;1;0;0;;;;;gpt-5.4;1;1;1;1;1;0;0;;;;
73;WEB_SEARCH;Can you find datasets about Crime and law enforcement, Legislation and legal systems, PSYCHOLOGY, Family life and marriage, Community, urban and rural life, Leisure, tourism and sport, Social behaviour and attitudes, Time use, Vocational education and training, and Employment in Duisburg during the 2000s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
74;WEB_SEARCH;Can you find datasets about Social behaviour and attitudes, Media, Political behaviour and attitudes, Government, political systems and organisations, Elections, Economic policy, public expenditure and revenue, and Economic systems and development in Germany during the 2010s?;openwebui_strict_gesis_only;chat-latest;1;0;1;1;0;0;0;;;;;gpt-5.4;1;1;1;1;1;0;0;;;;
75;WEB_SEARCH;Can you find datasets about Higher and further education, Social behaviour and attitudes, and Political behaviour and attitudes in Uruguay during the 1960s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
76;WEB_SEARCH;Can you find datasets about Political behaviour and attitudes and Government, political systems and organisations in Turkey during the 2010s?;neither_strict_gesis;chat-latest;1;0;1;1;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
77;WEB_SEARCH;Can you find datasets about Religion and values, Social behaviour and attitudes, Political behaviour and attitudes, Government, political systems and organisations, SOCIAL STRATIFICATION AND GROUPINGS, Family life and marriage, and Economic systems and development in United Kingdom during the 1990s?;neither_strict_gesis;chat-latest;1;0;1;1;0;1;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
78;WEB_SEARCH;Can you find datasets about Social conditions and indicators and Youth in Germany during the 1980s?;openai_strict_gesis_only;chat-latest;1;1;1;1;1;0;0;;;;;gpt-5.4;1;0;1;1;0;0;0;;;;
79;WEB_SEARCH;Can you find datasets about Economic systems and development in Malta during the 2000s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
80;WEB_SEARCH;Can you find datasets about HISTORY in German Reich (1871-1945) during the 1910s and 1920s and 1930s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
81;WEB_SEARCH;Can you find datasets about Social behaviour and attitudes, Medication and treatment, Specific diseases, disorders and medical conditions, Language and linguistics, International politics and organisations, and Political behaviour and attitudes in Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, Great Britain, Northern Ireland, Austria, Sweden, and Finland during the 1990s?;both_strict_gesis;chat-latest;1;1;1;1;1;0;0;;;;;gpt-5.4;1;1;0;1;1;0;0;;;;
82;WEB_SEARCH;Can you find datasets about Employment and TRADE, INDUSTRY AND MARKETS in North Rhine-Westphalia during the 1960s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
83;WEB_SEARCH;Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, and Elections in Germany during the 2020s?;openwebui_strict_gesis_only;chat-latest;1;0;1;1;0;0;0;;;;;gpt-5.4;1;1;1;1;1;0;0;;;;
84;WEB_SEARCH;Can you find datasets about Medication and treatment and Specific diseases, disorders and medical conditions in Rhineland-Palatinate during the 2000s and 2010s?;neither_strict_gesis;chat-latest;0;0;0;0;0;0;0;;;;;gpt-5.4;0;0;0;0;0;0;0;;;;
85;WEB_SEARCH;Can you find datasets about Employment, Cultural activities and participation, Specific diseases, disorders and medical conditions, Media, Political behaviour and attitudes, Government, political systems and organisations, Family life and marriage, and Youth in German Democratic Republic (1949-1990) during the 1970s?;openai_strict_gesis_only;chat-latest;1;1;0;1;1;1;1;;;;;;;;;;;;;;;;
