query_id;query_text;full_prompt_no_web;full_prompt_web_search;query_variant;query_topics;query_countries;query_time_collection_years;query_time_display;query_universe;query_analysis_units;abstract_generated_query;abstract_query_generator_model;abstract_source_hash;source_dataset_id;source_title;source_doi;source_portal_url;source_row
11;Can you find datasets about Media in Germany during the 2010s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Media in Germany during the 2010s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Media in Germany during the 2010s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Media""]";"[""Germany""]";"[""2016"", ""2016""]";2010s;;;;;;ZA6621;General Public´s Trust in Politics;"[""10.4232/1.12710""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6621&db=D;7
12;Can you find datasets about POLITICS in Germany during the 2010s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about POLITICS in Germany during the 2010s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about POLITICS in Germany during the 2010s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""POLITICS""]";"[""Germany""]";"[""2016"", ""2016""]";2010s;;;;;;ZA6621;General Public´s Trust in Politics;"[""10.4232/1.12710""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6621&db=D;7
13;Can you find datasets about Political behaviour and attitudes in Germany during the 2010s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Political behaviour and attitudes in Germany during the 2010s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Political behaviour and attitudes in Germany during the 2010s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Political behaviour and attitudes""]";"[""Germany""]";"[""2016"", ""2016""]";2010s;;;;;;ZA6621;General Public´s Trust in Politics;"[""10.4232/1.12710""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6621&db=D;7
14;Can you find datasets about Government, political systems and organisations in Germany during the 2010s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Government, political systems and organisations in Germany during the 2010s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Government, political systems and organisations in Germany during the 2010s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Government, political systems and organisations""]";"[""Germany""]";"[""2016"", ""2016""]";2010s;;;;;;ZA6621;General Public´s Trust in Politics;"[""10.4232/1.12710""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6621&db=D;7
15;Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Media""]";"[""German Democratic Republic (1949-1990)""]";"[""1988"", ""1988""]";1980s;;;;;;ZA7315;Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88);"[""10.4232/1.10556""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7315&db=D;8
16;Can you find datasets about Working conditions in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Working conditions in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Working conditions in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Working conditions""]";"[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]";"[""2014"", ""2014""]";2010s;;;;;;ZA6865;Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2);"[""10.4232/1.12965""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6865&db=D;9
17;Can you find datasets about Occupational health in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Occupational health in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Occupational health in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Occupational health""]";"[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]";"[""2014"", ""2014""]";2010s;;;;;;ZA6865;Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2);"[""10.4232/1.12965""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6865&db=D;9
18;Can you find datasets about Reproductive health in Germany during the 1970s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Reproductive health in Germany during the 1970s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Reproductive health in Germany during the 1970s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Reproductive health""]";"[""Germany""]";"[""1972"", ""1972""]";1970s;;;;;;ZA0682;Family Planning as Health Task;"[""10.4232/1.12464"", ""10.4232/1.0682""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0682&db=D;10
19;Can you find datasets about Employment in German Democratic Republic (1949-1990) during the 1980s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Employment in German Democratic Republic (1949-1990) during the 1980s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Employment in German Democratic Republic (1949-1990) during the 1980s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Employment""]";"[""German Democratic Republic (1949-1990)""]";"[""1988"", ""1989""]";1980s;;;;;;ZA6370;Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women);"[""10.4232/1.6370""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6370&db=D;11
20;Can you find datasets about Leisure, tourism and sport in German Democratic Republic (1949-1990) during the 1980s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Leisure, tourism and sport in German Democratic Republic (1949-1990) during the 1980s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Leisure, tourism and sport in German Democratic Republic (1949-1990) during the 1980s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Leisure, tourism and sport""]";"[""German Democratic Republic (1949-1990)""]";"[""1988"", ""1989""]";1980s;;;;;;ZA6370;Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women);"[""10.4232/1.6370""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6370&db=D;11
21;Can you find datasets about Reproductive health in German Democratic Republic (1949-1990) during the 1980s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Reproductive health in German Democratic Republic (1949-1990) during the 1980s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Reproductive health in German Democratic Republic (1949-1990) during the 1980s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Reproductive health""]";"[""German Democratic Republic (1949-1990)""]";"[""1988"", ""1989""]";1980s;;;;;;ZA6370;Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women);"[""10.4232/1.6370""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6370&db=D;11
