"query_id";"query_text";"full_prompt_no_web";"full_prompt_web_search";"query_variant";"query_topics";"query_countries";"query_time_collection_years";"query_time_display";"source_dataset_id";"source_title";"source_doi";"source_portal_url";"source_row"
"11";"Can you find the GESIS dataset titled Sexual Conduct of Men and Women in the Federal Republic of Germany 1989?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Sexual Conduct of Men and Women in the Federal Republic of Germany 1989?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Sexual Conduct of Men and Women in the Federal Republic of Germany 1989?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA2235";"Sexual Conduct of Men and Women in the Federal Republic of Germany 1989";"[""10.4232/1.2235""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2235&db=D";"12"
"12";"Can you find the GESIS dataset titled ""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled ""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled ""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA8413";"""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution";"[""10.4232/1.8413""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8413&db=D";"13"
"13";"Can you find the GESIS dataset titled A Survey of Europe Today (Finland)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled A Survey of Europe Today (Finland)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled A Survey of Europe Today (Finland)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA1296";"A Survey of Europe Today (Finland)";"[""10.4232/1.1296""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1296&db=D";"14"
"14";"Can you find the GESIS dataset titled College Education and Profession?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled College Education and Profession?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled College Education and Profession?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA1458";"College Education and Profession";"[""10.4232/1.1458""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1458&db=D";"15"
"15";"Can you find the GESIS dataset titled 50 Years Federal Republic of Germany?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled 50 Years Federal Republic of Germany?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled 50 Years Federal Republic of Germany?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA3222";"50 Years Federal Republic of Germany";"[""10.4232/1.3222""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3222&db=D";"16"
"16";"Can you find the GESIS dataset titled Future Plans of Young People at Special Schools of Emotional and Social Development?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Future Plans of Young People at Special Schools of Emotional and Social Development?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Future Plans of Young People at Special Schools of Emotional and Social Development?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA6262";"Future Plans of Young People at Special Schools of Emotional and Social Development";"[""10.4232/1.13487""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6262&db=D";"17"
"17";"Can you find the GESIS dataset titled Citizen Survey Duisburg (Spring 2000)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Citizen Survey Duisburg (Spring 2000)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Citizen Survey Duisburg (Spring 2000)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA3468";"Citizen Survey Duisburg (Spring 2000)";"[""10.4232/1.3468""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3468&db=D";"18"
"18";"Can you find the GESIS dataset titled Flash Eurobarometer 10 (Managers)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Flash Eurobarometer 10 (Managers)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Flash Eurobarometer 10 (Managers)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA2146";"Flash Eurobarometer 10 (Managers)";"[""10.4232/1.2146""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2146&db=D";"19"
"19";"Can you find the GESIS dataset titled Labour market policy in the German Empire.?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Labour market policy in the German Empire.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Labour market policy in the German Empire.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA8423";"Labour market policy in the German Empire.";"[""10.4232/1.10284""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8423&db=D";"20"
"20";"Can you find the GESIS dataset titled Duisburg Citizen Survey (Autumn 2002, Foreign population)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Duisburg Citizen Survey (Autumn 2002, Foreign population)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Duisburg Citizen Survey (Autumn 2002, Foreign population)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA4347";"Duisburg Citizen Survey (Autumn 2002, Foreign population)";"[""10.4232/1.4347""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4347&db=D";"21"
"21";"Can you find the GESIS dataset titled Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA7140";"Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84)";"[""10.4232/1.7140""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7140&db=D";"22"
"22";"Can you find the GESIS dataset titled The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA5003";"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria";"[""10.4232/1.5003""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5003&db=D";"23"
"23";"Can you find the GESIS dataset titled The CFS?s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled The CFS?s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled The CFS?s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA8286";"The CFS?s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.";"[""10.4232/1.8286""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8286&db=D";"24"
