variant_short;query_id;query_variant;mode;model;rank;source_dataset_id;returned_title;returned_url_or_doi;matched_dataset_id;is_strict_source_dataset;is_source_dataset;is_title_source_dataset;is_strict_gesis_relevant_dataset;is_gesis_relevant_dataset;link_valid;match_method;title_match_method
V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;11;ZA7500;International Social Survey Programme: National Identity I-III Cumulation;https://www.gesis.org/en/issp/data-and-documentation/national-identity/cumulation;ZA5961;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;1;ZA9144;European Social Survey (ESS), Round 10 (2020-2022);https://www.europeansocialsurvey.org/data-portal;ZA5145;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;2;ZA9144;European Social Survey (ESS), Round 11 (2023-2024);https://www.europeansocialsurvey.org/data-portal;ZA5145;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;3;ZA9144;European Social Survey CRONOS-2 Panel (2021-2023);https://www.europeansocialsurvey.org/methodology/methodological-research/modes-data-collection/cronos;ZA5145;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;4;ZA9144;European Values Study and World Values Survey: Joint EVS/WVS 2017-2022 Dataset, Version 5.0.0;https://doi.org/10.4232/1.14320;ZA7505;0;0;0;0;0;True;doi;title_fuzzy
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;5;ZA9144;World Values Survey Wave 7 (2017-2022) Cross-National Dataset;https://doi.org/10.14281/18241.24;;0;0;0;0;0;False;unmatched;unmatched
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;6;ZA9144;Eurobarometer 93.1 (2020);https://doi.org/10.4232/1.13866;ZA7649;0;0;0;0;1;False;title_exact;title_exact
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;7;ZA9144;Eurobarometer 94.3 (2021);https://doi.org/10.4232/1.13793;ZA7780;0;0;0;0;1;False;title_exact;title_exact
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;8;ZA9144;Eurobarometer 95.3 (2021);https://doi.org/10.4232/1.13826;ZA7783;0;0;0;1;1;True;doi;title_exact
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;9;ZA9144;Eurobarometer 96.3 (2022);https://doi.org/10.4232/1.13908;ZA7848;0;0;0;1;1;True;doi;title_exact
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;10;ZA9144;Eurobarometer 97.5 (2022);https://doi.org/10.4232/1.14010;ZA7902;0;0;0;1;1;True;doi;title_exact
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;11;ZA9144;Eurobarometer 99.4 (2023);https://doi.org/10.4232/1.14363;ZA8779;0;0;0;0;0;True;doi;title_exact
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;12;ZA9144;Eurobarometer 102.2 (2024);https://doi.org/10.4232/1.14726;ZA8843;0;0;0;0;1;False;title_fuzzy;title_fuzzy
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;13;ZA9144;Eurobarometer 101.5 (2024): European Parliament EU Post-Electoral Survey 2024;https://b2find.eudat.eu/dataset/d598d228-7aaa-5802-a152-61bfb503b999;ZA8900;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;14;ZA9144;Eurobarometer Data Service: Standard and Special Eurobarometer;https://www.gesis.org/en/eurobarometer-data-service/data-and-documentation/standard-special-eb;;0;0;0;0;0;False;unmatched;unmatched
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;15;ZA9144;V-Dem Dataset Archive;https://www.v-dem.net/data/dataset-archive/;;0;0;0;0;0;False;unmatched;unmatched
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;16;ZA9144;Worldwide Governance Indicators (WGI);https://datacatalog.worldbank.org/search/dataset/0038026/worldwide-governance-indicators;;0;0;0;0;0;False;unmatched;unmatched
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;17;ZA9144;World Development Indicators (WDI);https://datacatalog.worldbank.org/search/dataset/0037712/world-development-indicators;ZA4801;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;18;ZA9144;Eurostat Database;https://ec.europa.eu/eurostat/web/main/data/database;SDN-10.7802-2786;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;19;ZA9144;Eurostat Quarterly National Accounts: Main GDP Aggregates;https://doi.org/10.2908/NAMQ_10_GDP;;0;0;0;0;0;False;unmatched;unmatched
V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;20;ZA9144;Uppsala Conflict Data Program (UCDP) Dataset Download Center;https://ucdp.uu.se/downloads/;;0;0;0;0;0;False;unmatched;unmatched
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;1;ZA5665;GENESIS-Online — German Federal Statistical Office;https://genesis.destatis.de/datenbank/online/statistics;;0;0;0;0;0;False;unmatched;unmatched
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;2;ZA5665;Socio-Economic Panel (SOEP-Core), data 1984–2020;https://doi.org/10.5684/soep.core.v37r;;0;0;0;0;0;False;unmatched;unmatched
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;3;ZA5665;ALLBUS/German General Social Survey 2018;https://doi.org/10.4232/1.13250;ZA5270;0;0;0;1;1;True;doi;title_fuzzy
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;4;ZA5665;ALLBUScompact 2023;https://doi.org/10.4232/1.14545;ZA8831;0;0;0;1;1;True;doi;title_exact
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;5;ZA5665;GLES 2017 Post-election Cross Section;https://doi.org/10.4232/1.13235;ZA6801;0;0;0;1;1;True;doi;title_fuzzy
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;6;ZA5665;GLES Tracking January 2021 (T48);https://doi.org/10.4232/1.13727;ZA7705;0;0;0;0;0;True;doi;title_fuzzy
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;7;ZA5665;GLES Longterm Online Tracking T39;https://doi.org/10.4232/1.13989;ZA6823;0;0;0;0;0;True;doi;title_fuzzy
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;8;ZA5665;German Internet Panel, Wave 22 (March 2016);https://doi.org/10.4232/1.12842;ZA6754;0;0;0;1;1;True;doi;title_exact
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;9;ZA5665;German Internet Panel, Wave 50 (November 2020);https://doi.org/10.4232/1.14323;ZA7647;0;0;0;1;1;True;doi;title_exact
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;10;ZA5665;German Internet Panel, Wave 55 Core Study (September 2021);https://doi.org/10.4232/1.14324;ZA7763;0;0;0;1;1;True;doi;title_exact
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;11;ZA5665;German Internet Panel, Wave 57 (January 2022);https://doi.org/10.4232/1.13946;ZA7877;0;0;0;1;1;True;doi;title_exact
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;12;ZA5665;German Internet Panel, Wave 70 (March 2024);https://doi.org/10.4232/1.14744;ZA9052;0;0;0;0;1;False;title_exact;title_exact
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;13;ZA5665;Mikrozensus 2021;https://doi.org/10.21242/12211.2021.00.00.1.1.0;missy-mz-2021;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;14;ZA5665;Einkommens- und Verbrauchsstichprobe (EVS) 2018 — Scientific Use File;https://doi.org/10.21242/63211.2018.00.04.3.1.0;missy-mz-2018;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;15;ZA5665;GEDA 2019/2020-EHIS — Scientific Use Files;https://www.rki.de/DE/Aktuelles/Publikationen/Forschungsdaten/FDZ/Datenangebot/GEDA/GEDA_inhalt.html;;0;0;0;0;0;False;unmatched;unmatched
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;16;ZA5665;Gesundheit in Deutschland aktuell (GEDA 2019/2020-EHIS) Open Data;https://doi.org/10.5281/zenodo.7214473;;0;0;0;0;0;False;unmatched;unmatched
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;17;ZA5665;Zeitverwendungserhebung 2022 — Scientific Use File;https://doi.org/10.21242/63911.2022.00.00.3.1.1;;0;0;0;0;0;False;unmatched;unmatched
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;18;ZA5665;German Time Use Survey 2022 — Results and Data;https://www.destatis.de/EN/Themes/Society-Environment/Income-Consumption-Living-Conditions/Time-Use/_node.html;;0;0;0;0;0;False;unmatched;unmatched
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;19;ZA5665;Statistik der Straßenverkehrsunfälle 2022 — Scientific Use File;https://doi.org/10.21242/46241.2022.00.00.3.1.0;;0;0;0;0;0;False;unmatched;unmatched
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;20;ZA5665;Destatis Migration Statistics (Wanderungsstatistik);https://genesis.destatis.de/datenbank/online/statistic/12711/details;;0;0;0;0;0;False;unmatched;unmatched
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;21;ZA5665;Destatis Microcensus — Population by Sex, Marital Status and Migration Status;https://genesis.destatis.de/datenbank/online/statistic/12211/table/12211-0201;ZA0542;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;22;ZA5665;German Time Use Survey 2022 — Average Daily Time Use;https://genesis.destatis.de/datenbank/online/statistic/63911/table/63911-0007;;0;0;0;0;0;False;unmatched;unmatched
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;23;ZA5665;German Environment Agency — Greenhouse Gas Emissions in Germany;https://www.umweltbundesamt.de/daten/umweltzustand-trends/klima/treibhausgas-emissionen-in-deutschland;ZA0485;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;24;ZA5665;German Environment Agency — Air Pollutant Emissions in Germany;https://www.umweltbundesamt.de/daten/umweltzustand-trends/luft/luftschadstoff-emissionen-in-deutschland;ZA0485;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;25;ZA5665;German Environment Agency — Data on the Environment;https://www.umweltbundesamt.de/daten;;0;0;0;0;0;False;unmatched;unmatched
V1;6;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;1;SDN-10.7802-2863;News on TikTok: An Annotated Dataset of TikTok Videos from German-Speaking News Outlets in 2023;https://doi.org/10.1609/icwsm.v19i1.35953;SDN-10.7802-2863;0;1;1;0;1;False;title_exact;title_exact
V1;6;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;2;SDN-10.7802-2863;Worlds of Journalism Study Wave 3 (2021–2025) Consolidated Dataset;https://doi.org/10.5281/zenodo.17403573;;0;0;0;0;0;False;unmatched;unmatched
V1;6;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;3;SDN-10.7802-2863;Mapping Toxic Comments Across Demographics: A Dataset from German Public Broadcasting;https://doi.org/10.5281/zenodo.17109817;;0;0;0;0;0;False;unmatched;unmatched
V1;6;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;4;SDN-10.7802-2863;More Inclusive and Wider Sources: A Comparative Analysis of Data and Political Journalists on Twitter (Now X) in Germany;https://doi.org/10.3390/journalmedia5010027;ZA5991;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;6;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;5;SDN-10.7802-2863;The German Data Journalist in 2021;https://doi.org/10.1080/17512786.2022.2098523;missy-mz-2021;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;6;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;6;SDN-10.7802-2863;Journalismus in Deutschland 2023;https://doi.org/10.21241/ssoar.89555;SDN-10.7802-3006;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V1;6;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;7;SDN-10.7802-2863;Digital News Report 2023;https://doi.org/10.60625/risj-p6es-hb13;;0;0;0;0;0;False;unmatched;unmatched
V1;6;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;8;SDN-10.7802-2863;Reuters Institute Digital News Report 2023: Ergebnisse für Deutschland;https://doi.org/10.21241/ssoar.86851;;0;0;0;0;0;False;unmatched;unmatched
V1;6;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;9;SDN-10.7802-2863;Incentivizing News Consumption on Social Media Platforms Using Large Language Models and Realistic Bot Accounts;https://doi.org/10.5061/dryad.7sqv9s50w;;0;0;0;0;0;False;unmatched;unmatched
V1;6;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;10;SDN-10.7802-2863;Diskurse zur Mediatisierung des Büros: Ein kommentierter Datensatz zu einer wissenssoziologischen Diskursanalyse von Presseartikeln (deutschsprachiger Raum, 1980–2024);https://doi.org/10.5281/zenodo.19182156;;0;0;0;0;0;False;unmatched;unmatched
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;1;ZA7500;ILOSTAT – Indicators and Data Tools;https://ilostat.ilo.org/data/;;0;0;0;0;0;False;unmatched;unmatched
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;2;ZA7500;ILOSTAT – Bulk Download Facility;https://ilostat.ilo.org/data/bulk/;;0;0;0;0;0;False;unmatched;unmatched
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;3;ZA7500;UNECE Statistical Database – Labour Force and Employment;https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__20-ME__3-MELF;SDN-10.7802-2786;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;4;ZA7500;UNECE – Employment by Country and Quarter;https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__20-ME__3-MELF/30_en_MEEmpTotQ_r.px/;;0;0;0;0;0;False;unmatched;unmatched
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;5;ZA7500;UNECE – Employment by Sector of Activity, Sex, Measurement, Country and Year;https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__30-GE__03-WorkAndeconomy/002_en_GEWEEmploySPN_r.px/;;0;0;0;0;0;False;unmatched;unmatched
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;6;ZA7500;UNECE – Employment by Status in Employment, Sex, Measurement, Country and Year;https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__30-GE__03-WorkAndeconomy/007_en_GEWEEmployStatus_r.px/;ZA4657;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;7;ZA7500;Eurostat – EU Labour Force Survey Microdata;https://ec.europa.eu/eurostat/web/microdata/european-union-labour-force-survey;missy-european-union-labour-force-survey-1993;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;8;ZA7500;Eurostat – EU Labour Force Survey Public Microdata;https://ec.europa.eu/eurostat/web/microdata/public-microdata/labour-force-survey;;0;0;0;0;0;False;unmatched;unmatched
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;9;ZA7500;Eurostat – Employment and Unemployment (LFS) Database;https://ec.europa.eu/eurostat/web/lfs/database;SDN-10.7802-2786;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;10;ZA7500;Eurostat – Employment and Labour Force by Sex and Age, Annual Data;https://doi.org/10.2908/lfsi_emp_a;;0;0;0;0;0;False;unmatched;unmatched
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;11;ZA7500;Eurostat – Unemployment by Sex and Age, Monthly Data;https://ec.europa.eu/eurostat/databrowser/view/une_rt_m/default/table;;0;0;0;0;0;False;unmatched;unmatched
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;12;ZA7500;OECD Employment Database;https://www.oecd.org/en/data/datasets/oecd-employment-database.html;SDN-10.7802-2786;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;13;ZA7500;OECD Employment and Labour Market Statistics;https://doi.org/10.1787/lfs-data-en;ZA8642;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V2;1;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;14;ZA7500;World Bank – Employment to Population Ratio, 15+, Total (%) (National Estimate);https://data.worldbank.org/indicator/SL.EMP.TOTL.SP.NE.ZS;;0;0;0;0;0;False;unmatched;unmatched
V2;2;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;1;ZA7500;European Values Study 2017: Integrated Dataset (EVS 2017);https://search.gesis.org/research_data/ZA7500;ZA7500;1;1;1;1;1;True;dataset_id;title_exact
V2;2;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;2;ZA7500;Joint EVS/WVS 2017-2022 Dataset;https://doi.org/10.4232/1.14320;ZA7505;0;0;0;1;1;True;doi;title_exact
V2;2;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;3;ZA7500;World Values Survey Wave 7 (2017-2022) Cross-National Data-Set;https://www.worldvaluessurvey.org/WVSDocumentationWV7.jsp;;0;0;0;0;0;False;unmatched;unmatched
V2;2;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;4;ZA7500;International Social Survey Programme: National Identity III - ISSP 2013;https://doi.org/10.4232/1.12312;ZA5950;0;0;0;0;0;True;doi;title_exact
V2;2;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;5;ZA7500;International Social Survey Programme: National Identity I-III - ISSP 1995-2003-2013 Cumulation;https://doi.org/10.4232/1.13471;ZA5960;0;0;0;0;0;True;doi;title_exact
V2;2;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;6;ZA7500;European Social Survey Data Portal;https://www.europeansocialsurvey.org/data-portal;ZA4512;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V2;2;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;7;ZA7500;Special Eurobarometer 508: Values and identities of EU citizens;https://data.europa.eu/data/datasets/s2230-94-1-508-eng?locale=en;;0;0;0;0;0;False;unmatched;unmatched
V2;2;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;8;ZA7500;Flash Eurobarometer 485: EU Citizenship and Democracy;https://doi.org/10.4232/1.13550;ZA7633;0;0;0;0;0;True;doi;title_fuzzy
V2;2;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;9;ZA7500;Special Eurobarometer 399: Cultural Access and Participation;https://data.europa.eu/data/datasets/s1115_79_2_399;ZA0065;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V2;3;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;1;ZA7500;European Values Study 2017: Integrated Dataset (EVS 2017);https://doi.org/10.4232/1.13897;ZA7500;1;1;1;1;1;True;doi;title_exact
V2;3;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;2;ZA7500;Joint European Values Study / World Values Survey 2017-2022 Dataset;https://www.gesis.org/en/european-values-study/data-and-documentation/joint-evs/wvs-2017-2022-dataset;ZA7500;0;1;1;0;1;False;title_fuzzy;title_fuzzy
V2;3;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;3;ZA7500;World Values Survey Wave 7 (2017-2022): Country-Pooled Datafile;https://doi.org/10.14281/18241.24;;0;0;0;0;0;False;unmatched;unmatched
V2;3;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;4;ZA7500;World Values Survey Time-Series Dataset;https://doi.org/10.14281/18241.17;;0;0;0;0;0;False;unmatched;unmatched
V2;3;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;5;ZA7500;European Social Survey Data Portal;https://www.europeansocialsurvey.org/data-portal;ZA4512;0;0;0;0;0;False;title_fuzzy;title_fuzzy
V2;3;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;6;ZA7500;International Social Survey Programme: Religion IV - ISSP 2018;https://doi.org/10.4232/1.13629;ZA7570;0;0;0;1;1;True;doi;title_exact
V2;4;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;1;ZA7500;European Values Study / World Values Survey Joint EVS/WVS 2017-2022 Dataset;https://www.gesis.org/en/european-values-study/data-and-documentation/joint-evs/wvs-2017-2022-dataset;ZA7505;0;0;0;0;1;False;title_fuzzy;title_fuzzy
V2;4;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;2;ZA7500;European Values Study 2017: Integrated Dataset;https://www.gesis.org/en/european-values-study/data-and-documentation/5th-wave-2017;ZA7500;0;1;1;0;1;False;title_exact;title_exact
V2;4;V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;WEB_SEARCH;chat-latest;3;ZA7500;Generations and Gender Survey - Round II (GGS-II);https://www.ggp-i.org/data/generations-and-gender-survey/ggs-round-2/;ZA8913;0;0;0;0;1;False;title_exact;title_exact
