query_id,query_text,query_variant
127,"[""MEDIA, COMMUNICATION AND LANGUAGE"", ""SOCIAL STRATIFICATION AND GROUPINGS""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
128,"[""MEDIA, COMMUNICATION AND LANGUAGE"", ""Information technology""] Telefonische Befragung mit standardisiertem Fragebogen",V2_TOPIC_METHOD
129,"[""Business/industrial management and organisation"", ""Economic systems and development""] Mail survey",V2_TOPIC_METHOD
130,"[""International politics and organisations"", ""Political behaviour and attitudes""] &bull; Telephone interview;",V2_TOPIC_METHOD
131,"[""Reproductive health""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
132,"[""mass media"", ""online media"", ""media consumption"", ""digital media"", ""methodology"", ""data preparation"", ""data bank""]",V2_TOPIC_METHOD
133,"[""Media""] Mündliche Befragung mit standardisiertem Fragebogen zum Fernsehen in der Vorwoche.",V2_TOPIC_METHOD
134,"[""Social behaviour and attitudes"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Family life and marriage""] &bull; Interview &bull; Self-administered questionnaire; Oral, paper and pencil resp. postal interview with standardised questionnaire",V2_TOPIC_METHOD
135,"[""Economic conditions and indicators"", ""Economic policy, public expenditure and revenue"", ""TRADE, INDUSTRY AND MARKETS"", ""Business/industrial management and organisation""] &bull; Self-administered questionnaire: Web-based (CAWI) &bull; Telephone interview: Computer-assisted (CATI);",V2_TOPIC_METHOD
136,"[""Social conditions and indicators"", ""Youth""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
137,"[""Employment"", ""Cultural activities and participation"", ""Specific diseases, disorders and medical conditions"", ""Media"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Family life and marriage"", ""Youth""] &bull; Self-administered questionnaire: Paper; Written survey in group association, further test procedures in the individual waves",V2_TOPIC_METHOD
138,"[""Government, political systems and organisations"", ""International politics and organisations"", ""Political behaviour and attitudes""] &bull; Telephone interview: Computer-assisted (CATI);",V2_TOPIC_METHOD
139,"[""Business/industrial management and organisation"", ""Media""] Mail survey",V2_TOPIC_METHOD
140,"[""Higher and further education"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""] Oral interview with standardized questionnaire",V2_TOPIC_METHOD
141,"[""HISTORY""] Quellen: Die Untersuchung stützt sich in ganz überwiegendem Maße auf den amtlichen Statistiken des Zollvereins, des Reiches, des Bundes, der Länder, der Kommunen usw. Daten aus wissenschaftlichen Einzelpublikationen.",V2_TOPIC_METHOD
142,"[""affectedness"", ""epidemic"", ""comparison"", ""reference group"", ""social status"", ""satisfaction with life""]",V2_TOPIC_METHOD
143,"[""Medication and treatment"", ""Specific diseases, disorders and medical conditions""] &bull; Self-administered questionnaire: Paper;",V2_TOPIC_METHOD
144,"[""Youth"", ""EDUCATION"", ""Higher and further education"", ""Migration"", ""Social behaviour and attitudes"", ""Leisure, tourism and sport"", ""Children"", ""Family life and marriage""] &bull; Self-administered questionnaire: Paper;",V2_TOPIC_METHOD
145,"[""HISTORY""] Sources: publication of the election results from the individual voting districts in the ""Schleswig-Holsteinische Volkszeitung"" as well as the ""Kieler Neueste Nachrichten"" (number of votes without information on election turnout and the results of splinter parties).",V2_TOPIC_METHOD
146,"[""Employment"", ""Migration"", ""Cultural activities and participation"", ""Equality, inequality and social exclusion"", ""Economic conditions and indicators""] Written survey",V2_TOPIC_METHOD
147,"[""Political behaviour and attitudes"", ""Elections""] &bull; Telephone interview; Telephone interview with standardized questionnaire",V2_TOPIC_METHOD
148,"[""Employment"", ""Vocational education and training"", ""Higher and further education"", ""Social conditions and indicators"", ""Family life and marriage""] &bull; Face-to-face interview: Paper-and-pencil (PAPI) &bull; Self-administered questionnaire: Paper; Oral survey with standardized questionnaire",V2_TOPIC_METHOD
149,"[""Religion and values"", ""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Family life and marriage"", ""Economic systems and development""] Face-to-face interviews with standardized questionnaire",V2_TOPIC_METHOD
150,"[""Leisure, tourism and sport"", ""Youth""] Oral survey with standardized questionnaire among the young people and written survey of parents.",V2_TOPIC_METHOD
151,"[""Business/industrial management and organisation""] Mail survey with standardized questionnaire",V2_TOPIC_METHOD
152,"[""Employment"", ""TRADE, INDUSTRY AND MARKETS""] Oral interview with standardized questionnaire",V2_TOPIC_METHOD
153,"[""Higher and further education"", ""Media"", ""International politics and organisations"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""SOCIAL STRATIFICATION AND GROUPINGS""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
154,"[""Employment"", ""Leisure, tourism and sport"", ""Community, urban and rural life"", ""Housing""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
155,"[""Higher and further education"", ""Social behaviour and attitudes"", ""Political behaviour and attitudes""] Oral interview with standardized questionnaire.",V2_TOPIC_METHOD
156,"[""HISTORY"", ""Income, property and investment/saving""] Quellen: Amtliche Statistik des Deutschen Reichs (Statistische Jahrbücher für das Deutsche Reich). Amtliche Statistik der Bundesrepublik Deutschland (Statistisches Bundesamt Wiesbaden, Fachserie „Löhne und Gehälter“; Statistische Jahrbücher der Bundesrepublik Deutschland).",V2_TOPIC_METHOD
157,"[""Migration"", ""Physical fitness and exercise"", ""Specific diseases, disorders and medical conditions"", ""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Social welfare policy"", ""Specific social services: use and availability"", ""Employment""] &bull; Self-administered questionnaire: Web-based (CAWI);",V2_TOPIC_METHOD
158,"[""Compulsory and pre-school education"", ""Children""] Oral survey with standardized questionnaire",V2_TOPIC_METHOD
159,"[""Political behaviour and attitudes"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Minorities"", ""Equality, inequality and social exclusion"", ""Cultural and national identity""] Telefonische Befragung mit standardisiertem Fragebogen (CATI)",V2_TOPIC_METHOD
160,"[""HISTORY""] Sources: Original documents of at that time. The following sources were available at the different stock exchange centres: - Berlin: Berliner Börsen-Zeitung; Berliner Börsencourier; Neumann´s Cours-Tabellen. - Frankfurt: Öffentliches Börsen - Coursblatt; Frankfurter Zeitung. - Hamburg: Hamburgischer Correspondent - Neue Hamburgische Börsen-Halle. - Munich: Börsen-Kursblatt; Jahresberichte der IHK München. - Leipzig: Leipziger Börsen - Course. - Cologne: Kölnische Zeitung; Kölner Tageblatt.",V2_TOPIC_METHOD
161,"[""HISTORY""] Selection of time series of different scientific publications and of publication of the official statistics: EUROSTAT, European Statistical Office OECD: Organisation for Economic Cooperation and Development; ONS: Office for National Statistics, England; SCB: Statistiska Centralbyran, Sweden; Federal Statistical Office, Wiesbaden. Deutschland; WHO: World Health Organization.",V2_TOPIC_METHOD
162,"[""Community, urban and rural life"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""] Mail survey",V2_TOPIC_METHOD
163,"[""Media""] Mündliche Befragung mit standardisiertem Fragebogen zum Radiohören am Vortag",V2_TOPIC_METHOD
164,"[""Crime and law enforcement"", ""Legislation and legal systems"", ""PSYCHOLOGY"", ""Family life and marriage"", ""Community, urban and rural life"", ""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Time use"", ""Vocational education and training"", ""Employment""] &bull; Self-administered questionnaire: Paper &bull; Face-to-face interview;",V2_TOPIC_METHOD
165,"[""HISTORY""] Sources: Files and content analysis of biographical lexicons, of parliamentary handbooks, minutes of parliament and other archive materials.",V2_TOPIC_METHOD
166,"[""Employment"", ""Community, urban and rural life"", ""TRADE, INDUSTRY AND MARKETS"", ""Specific social services: use and availability""] Oral interview with standardized questionnaire",V2_TOPIC_METHOD
167,"[""protest movement"", ""agricultural policy"", ""nutrition policy""] Face-to-face interview:CAPI(Computer Assisted Personal Interview)/CAMI(Computer Assisted Mobile Interviews)",V2_TOPIC_METHOD
168,"[""Cultural and national identity"", ""Minorities"", ""International politics and organisations"", ""Migration""]",V2_TOPIC_METHOD
169,"[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""] Telephone interview with standardized questionnaire",V2_TOPIC_METHOD
170,"[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""] Written survey",V2_TOPIC_METHOD
171,[],V3_TOPIC_COUNTRY
172,"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""] [""Germany""]",V3_TOPIC_COUNTRY
173,"[""Higher and further education"", ""Media"", ""International politics and organisations"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""SOCIAL STRATIFICATION AND GROUPINGS""] [""Germany""]",V3_TOPIC_COUNTRY
174,"[""Community, urban and rural life"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""] [""German Democratic Republic (1949-1990)""]",V3_TOPIC_COUNTRY
175,"[""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Media"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour"", ""Economic systems and development"", ""Economic conditions and indicators""] [""Finland""]",V3_TOPIC_COUNTRY
176,"[""Cultural and national identity"", ""Minorities"", ""International politics and organisations"", ""Migration""] [""Netherlands""]",V3_TOPIC_COUNTRY
177,"[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""] [""Germany""]",V3_TOPIC_COUNTRY
178,"[""HISTORY""] [""German Reich (1871-1945)""]",V3_TOPIC_COUNTRY
179,"[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Youth"", ""Economic systems and development""] [""Berlin""]",V3_TOPIC_COUNTRY
180,"[""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Equality, inequality and social exclusion""] [""Germany""]",V3_TOPIC_COUNTRY
181,"[""university"", ""university policy"", ""digitalization"", ""artificial intelligence"", ""university research""] [""Germany""]",V3_TOPIC_COUNTRY
182,"[""parliamentary debate"", ""Croatia""] [""Croatia""]",V3_TOPIC_COUNTRY
183,"[""Economic conditions and indicators"", ""Economic policy, public expenditure and revenue"", ""TRADE, INDUSTRY AND MARKETS"", ""Business/industrial management and organisation""] [""Germany""]",V3_TOPIC_COUNTRY
184,"[""Employment"", ""TRADE, INDUSTRY AND MARKETS""] [""North Rhine-Westphalia""]",V3_TOPIC_COUNTRY
185,"[""digitalization"", ""telecommuting"", ""workaholism"", ""job performance""] [""Germany""]",V3_TOPIC_COUNTRY
186,"[""Employment"", ""Business/industrial management and organisation"", ""PSYCHOLOGY""] [""Germany""]",V3_TOPIC_COUNTRY
187,"[""Conflict, security and peace"", ""International politics and organisations"", ""Political behaviour and attitudes""] [""Germany""]",V3_TOPIC_COUNTRY
188,"[""Political behaviour and attitudes"", ""Government, political systems and organisations""] [""Turkey""]",V3_TOPIC_COUNTRY
