query_id,query_variant,source_dataset_id,source_title,query_text,query_topics,query_countries,query_time_collection_years,relevant_dataset_id,relevant_title,relevant_topic,relevant_country,relevant_time_collection_years
11,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6621,General Public´s Trust in Politics,Can you find GESIS datasets about Media in Germany during the 2010s?,"[""Media""]","[""Germany""]","[""2016"", ""2016""]",ZA6621,General Public´s Trust in Politics,,"[""Germany""]",
12,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6621,General Public´s Trust in Politics,Can you find GESIS datasets about POLITICS in Germany during the 2010s?,"[""POLITICS""]","[""Germany""]","[""2016"", ""2016""]",ZA6621,General Public´s Trust in Politics,,"[""Germany""]",
13,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6621,General Public´s Trust in Politics,Can you find GESIS datasets about Political behaviour and attitudes in Germany during the 2010s?,"[""Political behaviour and attitudes""]","[""Germany""]","[""2016"", ""2016""]",ZA6621,General Public´s Trust in Politics,,"[""Germany""]",
14,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6621,General Public´s Trust in Politics,"Can you find GESIS datasets about Government, political systems and organisations in Germany during the 2010s?","[""Government, political systems and organisations""]","[""Germany""]","[""2016"", ""2016""]",ZA6621,General Public´s Trust in Politics,,"[""Germany""]",
15,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA7315,Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88),Can you find GESIS datasets about Media in German Democratic Republic (1949-1990) during the 1980s?,"[""Media""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1988""]",ZA7315,Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88),,,
16,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6865,Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2),"Can you find GESIS datasets about Working conditions in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s?","[""Working conditions""]","[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]","[""2014"", ""2014""]",ZA6865,Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2),,"[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]",
17,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6865,Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2),"Can you find GESIS datasets about Occupational health in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s?","[""Occupational health""]","[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]","[""2014"", ""2014""]",ZA6865,Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2),,"[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]",
18,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA0682,Family Planning as Health Task,Can you find GESIS datasets about Reproductive health in Germany during the 1970s?,"[""Reproductive health""]","[""Germany""]","[""1972"", ""1972""]",ZA0682,Family Planning as Health Task,,"[""Germany""]",
19,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),Can you find GESIS datasets about Employment in German Democratic Republic (1949-1990) during the 1980s?,"[""Employment""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1989""]",ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),,,
20,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),"Can you find GESIS datasets about Leisure, tourism and sport in German Democratic Republic (1949-1990) during the 1980s?","[""Leisure, tourism and sport""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1989""]",ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),,,
21,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),Can you find GESIS datasets about Reproductive health in German Democratic Republic (1949-1990) during the 1980s?,"[""Reproductive health""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1989""]",ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),,,
22,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),"Can you find GESIS datasets about Specific diseases, disorders and medical conditions in German Democratic Republic (1949-1990) during the 1980s?","[""Specific diseases, disorders and medical conditions""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1989""]",ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),,,
23,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),Can you find GESIS datasets about Family life and marriage in German Democratic Republic (1949-1990) during the 1980s?,"[""Family life and marriage""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1989""]",ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),,,
24,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),Can you find GESIS datasets about Gender and gender roles in German Democratic Republic (1949-1990) during the 1980s?,"[""Gender and gender roles""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1989""]",ZA6370,Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women),,,
25,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA2235,Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,Can you find GESIS datasets about Reproductive health in Germany during the 1980s?,"[""Reproductive health""]","[""Germany""]","[""1989"", ""1989""]",ZA2235,Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,,"[""Germany""]",
26,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA2235,Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,"Can you find GESIS datasets about Specific diseases, disorders and medical conditions in Germany during the 1980s?","[""Specific diseases, disorders and medical conditions""]","[""Germany""]","[""1989"", ""1989""]",ZA2235,Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,,"[""Germany""]",
27,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA2235,Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,Can you find GESIS datasets about Family life and marriage in Germany during the 1980s?,"[""Family life and marriage""]","[""Germany""]","[""1989"", ""1989""]",ZA2235,Sexual Conduct of Men and Women in the Federal Republic of Germany 1989,,"[""Germany""]",
28,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA8413,"""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution",Can you find GESIS datasets about HISTORY in South Carolina and Massachusetts during the 1730s and 1740s and 1750s and 1760s and 1770s and 1780s and 1790s?,"[""HISTORY""]","[""South Carolina"", ""Massachusetts""]","[""1732"", ""1791""]",ZA8413,"""Arma sunt necessaria"" (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution",,,
29,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA1296,A Survey of Europe Today (Finland),"Can you find GESIS datasets about Leisure, tourism and sport in Finland during the 1960s?","[""Leisure, tourism and sport""]","[""Finland""]","[""1969"", ""1969""]",ZA1296,A Survey of Europe Today (Finland),,"[""Finland""]",
30,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA1296,A Survey of Europe Today (Finland),Can you find GESIS datasets about Social behaviour and attitudes in Finland during the 1960s?,"[""Social behaviour and attitudes""]","[""Finland""]","[""1969"", ""1969""]",ZA1296,A Survey of Europe Today (Finland),,"[""Finland""]",
31,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA1296,A Survey of Europe Today (Finland),Can you find GESIS datasets about Media in Finland during the 1960s?,"[""Media""]","[""Finland""]","[""1969"", ""1969""]",ZA1296,A Survey of Europe Today (Finland),,"[""Finland""]",
32,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA1296,A Survey of Europe Today (Finland),Can you find GESIS datasets about TRANSPORT AND TRAVEL in Finland during the 1960s?,"[""TRANSPORT AND TRAVEL""]","[""Finland""]","[""1969"", ""1969""]",ZA1296,A Survey of Europe Today (Finland),,"[""Finland""]",
33,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA1296,A Survey of Europe Today (Finland),Can you find GESIS datasets about Consumption and consumer behaviour in Finland during the 1960s?,"[""Consumption and consumer behaviour""]","[""Finland""]","[""1969"", ""1969""]",ZA1296,A Survey of Europe Today (Finland),,"[""Finland""]",
34,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA1296,A Survey of Europe Today (Finland),Can you find GESIS datasets about Economic systems and development in Finland during the 1960s?,"[""Economic systems and development""]","[""Finland""]","[""1969"", ""1969""]",ZA1296,A Survey of Europe Today (Finland),,"[""Finland""]",
35,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA1296,A Survey of Europe Today (Finland),Can you find GESIS datasets about Economic conditions and indicators in Finland during the 1960s?,"[""Economic conditions and indicators""]","[""Finland""]","[""1969"", ""1969""]",ZA1296,A Survey of Europe Today (Finland),,"[""Finland""]",
36,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA1458,College Education and Profession,Can you find GESIS datasets about Employment in Bavaria during the 1970s?,"[""Employment""]","[""Bavaria""]","[""1975"", ""1975""]",ZA1458,College Education and Profession,,,
37,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA1458,College Education and Profession,Can you find GESIS datasets about Higher and further education in Bavaria during the 1970s?,"[""Higher and further education""]","[""Bavaria""]","[""1975"", ""1975""]",ZA1458,College Education and Profession,,,
38,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA3222,50 Years Federal Republic of Germany,Can you find GESIS datasets about Social conditions and indicators in Germany during the 1990s?,"[""Social conditions and indicators""]","[""Germany""]","[""1999"", ""1999""]",ZA3222,50 Years Federal Republic of Germany,,"[""Germany""]",
39,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA3222,50 Years Federal Republic of Germany,Can you find GESIS datasets about Political behaviour and attitudes in Germany during the 1990s?,"[""Political behaviour and attitudes""]","[""Germany""]","[""1999"", ""1999""]",ZA3222,50 Years Federal Republic of Germany,,"[""Germany""]",
40,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA3222,50 Years Federal Republic of Germany,"Can you find GESIS datasets about Government, political systems and organisations in Germany during the 1990s?","[""Government, political systems and organisations""]","[""Germany""]","[""1999"", ""1999""]",ZA3222,50 Years Federal Republic of Germany,,"[""Germany""]",
41,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA3222,50 Years Federal Republic of Germany,Can you find GESIS datasets about Elections in Germany during the 1990s?,"[""Elections""]","[""Germany""]","[""1999"", ""1999""]",ZA3222,50 Years Federal Republic of Germany,,"[""Germany""]",
42,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,Can you find GESIS datasets about Youth in Germany during the 2010s?,"[""Youth""]","[""Germany""]","[""2017"", ""2019""]",ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,,"[""Germany""]",
43,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,Can you find GESIS datasets about EDUCATION in Germany during the 2010s?,"[""EDUCATION""]","[""Germany""]","[""2017"", ""2019""]",SDN-10.7802-2106,"Shell Jugendstudie 2019 (Kumulation 2002, 2006, 2010, 2015, 2019)","[""education"", ""youth research"", ""socialization research"", ""political interest"", ""value-orientation"", ""vocational guidance"", ""family planning"", ""media behavior"", ""social inequality""]","[""Germany""]","[""2019"", ""2019""]"
44,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,Can you find GESIS datasets about Higher and further education in Germany during the 2010s?,"[""Higher and further education""]","[""Germany""]","[""2017"", ""2019""]",ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,,"[""Germany""]",
45,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,Can you find GESIS datasets about Migration in Germany during the 2010s?,"[""Migration""]","[""Germany""]","[""2017"", ""2019""]",SDN-10.7802-1955,"Qualifications, Potentials and Life Courses of Syrian Asylum Seekers in Germany","[""migration"", ""integration""]","[""Germany"", ""Bayern""]","[""2017"", ""2017""]"
45,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,Can you find GESIS datasets about Migration in Germany during the 2010s?,"[""Migration""]","[""Germany""]","[""2017"", ""2019""]",SDN-10.7802-2588,Bodyrules – Interviews mit Badegästen,"[""Federal Republic of Germany"", ""migration"", ""religion"", ""cultural diversity"", ""clothing"", ""body"", ""regulation"", ""recreational facilities"", ""watersports""]","[""Germany""]","[""2019"", ""2019""]"
45,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,Can you find GESIS datasets about Migration in Germany during the 2010s?,"[""Migration""]","[""Germany""]","[""2017"", ""2019""]",SDN-10.7802-1.2007,Bodyrules - Swimming Pool Survey,"[""Federal Republic of Germany"", ""migration"", ""religion"", ""cultural diversity"", ""clothing"", ""body"", ""regulation"", ""recreational facilities"", ""watersports""]","[""Germany""]","[""2018"", ""2018""]"
46,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,Can you find GESIS datasets about Social behaviour and attitudes in Germany during the 2010s?,"[""Social behaviour and attitudes""]","[""Germany""]","[""2017"", ""2019""]",ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,,"[""Germany""]",
47,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,"Can you find GESIS datasets about Leisure, tourism and sport in Germany during the 2010s?","[""Leisure, tourism and sport""]","[""Germany""]","[""2017"", ""2019""]",ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,,"[""Germany""]",
48,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,Can you find GESIS datasets about Children in Germany during the 2010s?,"[""Children""]","[""Germany""]","[""2017"", ""2019""]",ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,,"[""Germany""]",
49,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,Can you find GESIS datasets about Family life and marriage in Germany during the 2010s?,"[""Family life and marriage""]","[""Germany""]","[""2017"", ""2019""]",ZA6262,Future Plans of Young People at Special Schools of Emotional and Social Development,,"[""Germany""]",
50,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA3468,Citizen Survey Duisburg (Spring 2000),"Can you find GESIS datasets about Community, urban and rural life in North Rhine-Westphalia during the 2000s?","[""Community, urban and rural life""]","[""North Rhine-Westphalia""]","[""2000"", ""2000""]",ZA3468,Citizen Survey Duisburg (Spring 2000),,,
51,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA3468,Citizen Survey Duisburg (Spring 2000),Can you find GESIS datasets about Cultural activities and participation in North Rhine-Westphalia during the 2000s?,"[""Cultural activities and participation""]","[""North Rhine-Westphalia""]","[""2000"", ""2000""]",ZA3468,Citizen Survey Duisburg (Spring 2000),,,
52,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA3468,Citizen Survey Duisburg (Spring 2000),Can you find GESIS datasets about Political behaviour and attitudes in North Rhine-Westphalia during the 2000s?,"[""Political behaviour and attitudes""]","[""North Rhine-Westphalia""]","[""2000"", ""2000""]",ZA3468,Citizen Survey Duisburg (Spring 2000),,,
53,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA3468,Citizen Survey Duisburg (Spring 2000),"Can you find GESIS datasets about Government, political systems and organisations in North Rhine-Westphalia during the 2000s?","[""Government, political systems and organisations""]","[""North Rhine-Westphalia""]","[""2000"", ""2000""]",ZA3468,Citizen Survey Duisburg (Spring 2000),,,
54,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA3468,Citizen Survey Duisburg (Spring 2000),Can you find GESIS datasets about Housing in North Rhine-Westphalia during the 2000s?,"[""Housing""]","[""North Rhine-Westphalia""]","[""2000"", ""2000""]",ZA3468,Citizen Survey Duisburg (Spring 2000),,,
55,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA2146,Flash Eurobarometer 10 (Managers),"Can you find GESIS datasets about Business/industrial management and organisation in Belgium, Germany, Denmark, France, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, and Great Britain during the 1990s?","[""Business/industrial management and organisation""]","[""Belgium"", ""Germany"", ""Denmark"", ""France"", ""Greece"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Portugal"", ""Spain"", ""Great Britain""]","[""1992"", ""1992""]",ZA2146,Flash Eurobarometer 10 (Managers),,"[""Belgium"", ""Germany"", ""Denmark"", ""France"", ""Greece"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Portugal"", ""Spain""]",
56,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA2146,Flash Eurobarometer 10 (Managers),"Can you find GESIS datasets about Economic systems and development in Belgium, Germany, Denmark, France, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, and Great Britain during the 1990s?","[""Economic systems and development""]","[""Belgium"", ""Germany"", ""Denmark"", ""France"", ""Greece"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Portugal"", ""Spain"", ""Great Britain""]","[""1992"", ""1992""]",ZA2146,Flash Eurobarometer 10 (Managers),,"[""Belgium"", ""Germany"", ""Denmark"", ""France"", ""Greece"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Portugal"", ""Spain""]",
57,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA8423,Labour market policy in the German Empire.,Can you find GESIS datasets about HISTORY in German Reich (1871-1945) during the 1900s and 1910s and 1920s?,"[""HISTORY""]","[""German Reich (1871-1945)""]","[""1904"", ""1928""]",ZA8423,Labour market policy in the German Empire.,,,
58,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA4347,"Duisburg Citizen Survey (Autumn 2002, Foreign population)",Can you find GESIS datasets about Migration in North Rhine-Westphalia during the 2000s?,"[""Migration""]","[""North Rhine-Westphalia""]","[""2002"", ""2002""]",ZA4347,"Duisburg Citizen Survey (Autumn 2002, Foreign population)",,,
59,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA5003,"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria",Can you find GESIS datasets about Employment in Lagos during the 1980s?,"[""Employment""]","[""Lagos""]","[""1983"", ""1983""]",ZA5003,"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria",,,
60,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA5003,"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria","Can you find GESIS datasets about Community, urban and rural life in Lagos during the 1980s?","[""Community, urban and rural life""]","[""Lagos""]","[""1983"", ""1983""]",ZA5003,"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria",,,
61,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA5003,"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria","Can you find GESIS datasets about TRADE, INDUSTRY AND MARKETS in Lagos during the 1980s?","[""TRADE, INDUSTRY AND MARKETS""]","[""Lagos""]","[""1983"", ""1983""]",ZA5003,"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria",,,
62,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA5003,"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria",Can you find GESIS datasets about Specific social services: use and availability in Lagos during the 1980s?,"[""Specific social services: use and availability""]","[""Lagos""]","[""1983"", ""1983""]",ZA5003,"The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria",,,
63,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,ZA8286,"The CFS’s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.",Can you find GESIS datasets about HISTORY in German Reich (1871-1945) during the 1870s and 1880s and 1890s and 1900s and 1910s?,"[""HISTORY""]","[""German Reich (1871-1945)""]","[""1871"", ""1914""]",ZA8286,"The CFS’s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.",,,
